wl,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,B_11,B_12,B_13,B_14,B_15,B_16,B_17,B_18,B_19,B_20,B_21,B_22,B_23,B_24,B_25,B_26,B_27,B_28,B_29,B_30,B_31,B_32,B_33,B_34,B_35,B_36,B_37,B_38,B_39,B_40,B_41,B_42,B_43,B_44,B_45,B_46,B_47,B_48,B_49,B_50
300,3.7993,3.79775,3.41185,3.0423,3.15585,2.8882,2.60995,2.6037,3.69265,4.33175,2.7921,2.7856,1.9449,2.50965,2.95535,2.00635,2.36065,2.3968,2.15075,2.1132,1.62475,2.57485,2.55515,2.5328,2.3464,2.7263,2.6549,2.54695,2.42025,2.9034,2.8522,2.767,3.1398,3.5985,3.1715,3.75795,3.1198,3.06305,3.3178,3.71155,3.4661,3.5424,3.77215,3.52385,3.6875,3.68035,3.552,3.53995,3.84255,3.6262
301,3.8127,3.83285,3.44765,3.074,3.19095,2.935325,2.6762,2.597575,3.58215,4.312225,2.786225,2.7954,1.9743,2.420775,2.89845,1.975725,2.330975,2.3457,2.19305,2.06515,1.587475,2.61195,2.48895,2.464725,2.310775,2.66055,2.61985,2.57665,2.43845,2.95205,2.867275,2.77515,3.196975,3.477975,3.117825,3.7265,3.054725,2.999825,3.2624,3.6695,3.399775,3.56685,3.7524,3.63165,3.68755,3.674025,3.541875,3.641375,3.85785,3.653625
302,3.770166667,3.874785714,3.44247619,3.047333333,3.170166667,2.94597619,2.680738095,2.56552381,3.581666667,4.25047619,2.780214286,2.796880952,1.986285714,2.42497619,2.912690476,2.012357143,2.351238095,2.334119048,2.246357143,2.067690476,1.641666667,2.603404762,2.572571429,2.483833333,2.352714286,2.585880952,2.566642857,2.657166667,2.536928571,3.025357143,2.947619048,2.836285714,3.223571429,3.475904762,3.140738095,3.67352381,3.1505,2.974833333,3.298571429,3.681142857,3.457166667,3.540880952,3.770119048,3.634690476,3.775952381,3.760619048,3.676738095,3.638547619,3.90352381,3.680571429
303,3.7232,3.8117,3.4168,3.0525,3.172,2.9221,2.654,2.5397,3.5482,4.232,2.7704,2.7517,1.9778,2.4149,2.8899,2.0763,2.3087,2.438,2.257,2.0725,1.6224,2.6297,2.6154,2.4666,2.4464,2.5743,2.5998,2.6907,2.5038,2.9962,2.9901,2.9471,3.2533,3.5217,3.1944,3.8064,3.1983,3.0119,3.421,3.6962,3.4812,3.6682,3.7373,3.5853,3.8398,3.8,3.8079,3.7566,3.8745,3.7775
304,3.740857143,3.799714286,3.397785714,3.013428571,3.101142857,2.877785714,2.627714286,2.478214286,3.467285714,4.179285714,2.771214286,2.722,1.960214286,2.490571429,2.8945,2.069714286,2.382071429,2.453357143,2.270928571,2.101714286,1.668642857,2.7355,2.700428571,2.478142857,2.4715,2.646714286,2.755214286,2.717857143,2.630571429,3.018142857,3.035071429,3.015357143,3.391214286,3.536,3.223928571,3.847357143,3.252642857,3.053571429,3.498642857,3.7205,3.570142857,3.753071429,3.719214286,3.605857143,3.897357143,3.843357143,3.845428571,3.836285714,4.0165,3.852428571
305,3.784125,3.860625,3.381625,2.985875,3.040875,2.815625,2.589125,2.438875,3.438875,4.114875,2.699625,2.707625,1.888625,2.4625,2.868875,2.014125,2.36725,2.45325,2.34275,2.1015,1.67925,2.7425,2.778375,2.499125,2.5695,2.6995,2.83125,2.74675,2.7485,3.085375,3.052375,3.003125,3.417375,3.50525,3.31125,3.83675,3.233625,3.078,3.545625,3.759125,3.62275,3.900375,3.697625,3.654875,3.925125,4.011875,3.919625,3.854,4.057,4.010125
306,3.769571429,3.904309524,3.384357143,2.948666667,3.004785714,2.84347619,2.570047619,2.476619048,3.504095238,4.166619048,2.718214286,2.718809524,1.932190476,2.49847619,3.005071429,2.044642857,2.491071429,2.52,2.447452381,2.163357143,1.743214286,2.868380952,2.836142857,2.54447619,2.677261905,2.753952381,2.804,2.781095238,2.851357143,3.088142857,3.191619048,3.131190476,3.430380952,3.543404762,3.339071429,3.925595238,3.298833333,3.112357143,3.592738095,3.797404762,3.701095238,3.904952381,3.794571429,3.684690476,4.015452381,4.118214286,3.945547619,3.993880952,4.111571429,4.00202381
307,3.758775,3.8983,3.37335,2.956475,2.9893,2.869725,2.543825,2.500775,3.488675,4.1236,2.6951,2.6743,1.902375,2.585725,2.97045,2.080175,2.5026,2.711075,2.476975,2.179925,1.7755,2.88045,2.890725,2.537875,2.733625,2.66325,2.82045,2.77325,2.9017,3.014025,3.13115,3.111975,3.43515,3.665075,3.439925,3.924375,3.2618,3.019275,3.684925,3.824475,3.74235,3.93045,3.79035,3.68895,4.0242,4.127875,3.7753,4.081775,4.03385,3.9621
308,3.740833333,3.835380952,3.321190476,2.982428571,2.985880952,2.844619048,2.538333333,2.531428571,3.480261905,4.110095238,2.629785714,2.618357143,1.840880952,2.502285714,2.872928571,2.014809524,2.41947619,2.721214286,2.325428571,2.144238095,1.79052381,2.755047619,2.911880952,2.578809524,2.748904762,2.595785714,2.784095238,2.807357143,2.829571429,2.884357143,3.008619048,3.01852381,3.413547619,3.621809524,3.346952381,3.843904762,3.117666667,2.983333333,3.680690476,3.773309524,3.687214286,3.888428571,3.733928571,3.63047619,3.844452381,4.096380952,3.774142857,4.08002381,3.942166667,3.947095238
309,3.7686,3.8188,3.3173,2.9432,2.9936,2.8283,2.5191,2.5573,3.5105,4.1501,2.6608,2.6759,1.8576,2.4743,2.8106,1.9751,2.406,2.7138,2.2264,2.047,1.8189,2.6606,2.8282,2.6222,2.6742,2.4935,2.6626,2.8109,2.8683,2.9076,3.0471,2.9738,3.414,3.5682,3.3367,3.8064,3.0732,3.0589,3.6467,3.7532,3.7314,3.8021,3.6701,3.5983,3.7939,4.0703,3.7121,3.8917,3.7881,3.9143
