wl,H_X7_F,R_X7_F,L_X7_F,P_X7_F,W_X7_F,H_X32_F,R_X32_F,L_X32_F,P_X32_F,W_X32_F,H_X002_F,R_X002_F,L_X002_F,P_X002_F,W_X002_F,H_X30_F,R_X30_F,L_X30_F,P_X30_F,W_X30_F,H_X14_F,R_X14_F,L_X14_F,P_X14_F,W_X14_F,H_X27_F,R_X27_F,L_X27_F,P_X27_F,W_X27_F,H_X9_F,R_X9_F,L_X9_F,P_X9_F,W_X9_F,H_X42_F,R_X42_F,L_X42_F,P_X42_F,W_X42_F,H_X43_F,R_X43_F,L_X43_F,P_X43_F,W_X43_F,H_X44_F,R_X44_F,L_X44_F,P_X44_F,W_X44_F,H_X20_F,R_X20_F,L_X20_F,P_X20_F,W_X20_F,H_X8_F,R_X8_F,L_X8_F,P_X8_F,W_X8_F,H_X50_F,R_X50_F,L_X50_F,P_X50_F,W_X50_F,H_X55_F,R_X55_F,L_X55_F,P_X55_F,W_X55_F,H_X1_F,R_X1_F,L_X1_F,P_X1_F,W_X1_F,H_X49_F,R_X49_F,L_X49_F,P_X49_F,W_X49_F,H_X41_F,R_X41_F,L_X41_F,P_X41_F,W_X41_F,H_X58_F,R_X58_F,L_X58_F,P_X58_F,W_X58_F,H_X003_F,R_X003_F,L_X003_F,P_X003_F,W_X003_F,H_X13_F,R_X13_F,L_X13_F,P_X13_F,W_X13_F,H_X19_F,R_X19_F,L_X19_F,P_X19_F,W_X19_F,H_X59_F,R_X59_F,L_X59_F,P_X59_F,W_X59_F,H_X3_F,R_X3_F,L_X3_F,P_X3_F,W_X3_F,H_X16_F,R_X16_F,L_X16_F,P_X16_F,W_X16_F,H_X4_F,R_X4_F,L_X4_F,P_X4_F,W_X4_F,H_X21_F,R_X21_F,L_X21_F,P_X21_F,W_X21_F,H_X33_F,R_X33_F,L_X33_F,P_X33_F,W_X33_F,H_X35_M,R_X35_M,L_X35_M,P_X35_M,W_X35_M,H_X17_M,R_X17_M,L_X17_M,P_X17_M,W_X17_M,H_X73_M,R_X73_M,L_X73_M,P_X73_M,W_X73_M,H_X68_M,R_X68_M,L_X68_M,P_X68_M,W_X68_M,H_X28_M,R_X28_M,L_X28_M,P_X28_M,W_X28_M,H_X52_M,R_X52_M,L_X52_M,P_X52_M,W_X52_M,H_X74_M,R_X74_M,L_X74_M,P_X74_M,W_X74_M,B_Z1_N,B_Z2_N,B_Z3_N,B_Z4_N,B_Z5_N,B_Z6_N,B_Z7_N,B_Z8_N,B_Z9_N,B_Z10_N,B_Z11_N,B_Z12_N,B_Z13_N,B_Z14_N,B_Z15_N,B_Z16_N,B_Z17_N,B_Z18_N,B_Z19_N,B_Z20_N,B_Z21_N,B_Z22_N,B_Z23_N,B_Z24_N,B_Z25_N,B_Z26_N,B_Z27_N,B_Z28_N,B_Z29_N,B_Z30_N,B_Z31_N,B_Z32_N,B_Z33_N,B_Z34_N,B_Z35_N,B_Z36_N,B_Z37_N,B_Z38_N,B_Z39_N,B_Z40_N,B_Z41_N,B_Z42_N,B_Z43_N,B_Z44_N,B_Z45_N,B_Z46_N,B_Z47_N,B_Z48_N,B_Z49_N,B_Z50_N
300,5.484348,8.326692,11.669868,7.012296,9.5280768,0.233172,4.942296,3.223188,4.25646,9.626976,3.080664,10.217808,15.24726,5.990796,5.79345336,3.891204,5.46552,3.321972,5.345892,7.983432,6.10128,6.120108,7.825392,7.172856,3.9372984,3.4299,5.16204,3.003804,7.469316,10.78776,6.904152,6.945984,6.43914,5.226516,16.317144,6.460272,4.917204,5.59314,11.633292,9.58554,6.024708,4.95756,4.802148,7.571016,6.2587044,5.9508,6.867864,5.4675,9.742536,8.5978152,7.194888,3.678948,6.56208,6.218244,8.438688,6.157944,17.368128,15.172272,7.725384,4.7871108,2.582244,9.110268,10.944432,5.92866,9.041976,12.04722,2.903436,3.833892,6.796152,9.03202848,6.564852,1.920276,10.382652,8.300916,4.4490348,3.651228,9.547128,9.175212,2.46276,7.054812,5.648256,4.702608,4.950684,4.646916,12.09816,1.222704,3.392028,5.53392,4.027896,13.703796,0.588168,4.711284,4.813344,4.966308,8.8883424,5.087484,9.581184,7.636284,5.328216,11.440476,9.951156,1.081764,9.353268,5.624244,6.06186,13.194684,3.271824,4.439664,4.017384,9.226008,1.340676,2.808216,6.010164,5.115348,9.5895,22.904568,10.381212,7.712208,6.7959,9.86202,11.862108,5.190768,21.386628,7.371504,4.996782,6.568308,14.906448,17.202456,6.522552,8.9063136,1.832652,4.957056,10.422324,5.141052,8.60987232,0.866230174,13.38175873,1.013992674,4.993563159,5.297112594,1.847980623,2.201925492,11.24133854,3.015386562,3.666728009,2.783235532,-0.174789593,1.454689806,1.299708014,7.268963009,4.318547168,0.465122436,1.08245583,0.821468434,17.82104255,0.65431986,2.014400817,8.788733805,3.216002867,3.251614029,13.17013829,15.80518518,16.13980833,4.477968634,10.71546896,5.262182306,5.167515025,5.517582835,7.758239725,9.32961848,3.7993,3.79775,3.41185,3.0423,3.15585,2.8882,2.60995,2.6037,3.69265,4.33175,2.7921,2.7856,1.9449,2.50965,2.95535,2.00635,2.36065,2.3968,2.15075,2.1132,1.62475,2.57485,2.55515,2.5328,2.3464,2.7263,2.6549,2.54695,2.42025,2.9034,2.8522,2.767,3.1398,3.5985,3.1715,3.75795,3.1198,3.06305,3.3178,3.71155,3.4661,3.5424,3.77215,3.52385,3.6875,3.68035,3.552,3.53995,3.84255,3.6262
301,5.4414,8.273574,11.632248,6.995718,9.4646592,0.22545,4.941936,3.220704,4.247838,9.639702,3.14298,10.28097,15.32142,6.058566,5.78051244,3.847626,5.45553,3.312666,5.365296,7.985664,6.069708,6.121188,7.838748,7.146918,3.9285036,3.422124,5.12262,2.981268,7.423974,10.77741,6.866316,6.929208,6.405984,5.198166,16.289478,6.447978,5.018346,5.623272,11.643228,9.597042,6.100038,5.025798,4.81653,7.622946,6.2903646,6.01245,6.886188,5.52726,9.751302,8.5877649,7.198236,3.676914,6.575328,6.153678,8.510634,6.148836,17.308656,15.110064,7.758666,4.77521424,2.652822,9.081972,10.937538,5.958396,9.065808,11.970594,2.865312,3.762954,6.712758,8.9735328,6.584634,1.93473,10.360206,8.278758,4.4507232,3.658104,9.482526,9.131724,2.455434,6.985044,5.66199,4.70682,4.988826,4.690692,12.205854,1.22922,3.398436,5.518224,3.962556,13.69944,0.676422,4.801356,4.867866,5.00355,8.9150922,5.223672,9.65997,7.698618,5.379624,11.524968,9.97776,1.053756,9.29673,5.5935,6.033168,13.23909,3.275838,4.471704,4.03614,9.294408,1.375686,2.798982,6.036012,5.14305,9.59787,22.856904,10.295478,7.658532,6.785766,9.8699958,11.820834,5.177898,21.3138,7.437438,5.0090922,6.634062,14.947542,17.243928,6.564186,8.9888256,1.907046,4.993488,10.479618,5.194296,8.67254688,0.887070889,13.30458759,1.001912292,5.00152721,5.437784575,1.818455853,2.182243287,11.16200958,3.042444166,3.775777292,2.763725117,-0.186267264,1.433344572,1.286914187,7.414264664,4.312767368,0.430233466,1.079936133,0.83407994,18.20922925,0.629058466,1.960193979,8.707505308,3.161925405,3.173898984,13.00030988,15.6298175,15.96048079,4.381309362,10.79581459,5.257270135,5.146445571,5.485795618,7.704006774,9.37495758,3.8127,3.83285,3.44765,3.074,3.19095,2.935325,2.6762,2.597575,3.58215,4.312225,2.786225,2.7954,1.9743,2.420775,2.89845,1.975725,2.330975,2.3457,2.19305,2.06515,1.587475,2.61195,2.48895,2.464725,2.310775,2.66055,2.61985,2.57665,2.43845,2.95205,2.867275,2.77515,3.196975,3.477975,3.117825,3.7265,3.054725,2.999825,3.2624,3.6695,3.399775,3.56685,3.7524,3.63165,3.68755,3.674025,3.541875,3.641375,3.85785,3.653625
302,5.495914286,8.178857143,11.58567429,7.009525714,9.459483429,0.230485714,4.954457143,3.27708,4.203274286,9.669377143,3.161417143,10.38332571,15.46589143,6.045994286,5.808564343,3.817902857,5.470457143,3.355697143,5.463051429,7.975611429,6.043851429,6.161948571,7.857085714,7.149222857,3.947568,3.447137143,5.154017143,3.014297143,7.419874286,10.85859429,6.908331429,6.958491429,6.448217143,5.204554286,16.29881143,6.451422857,4.966217143,5.60352,11.62301143,9.590777143,6.121234286,5.016617143,4.811862857,7.652485714,6.305542286,6.025131429,6.86136,5.533045714,9.734005714,8.600870571,7.23636,3.646954286,6.555857143,6.156222857,8.567245714,6.138788571,17.16130286,15.00111429,7.777937143,4.813657714,2.693931429,9.103971429,10.9278,5.978948571,9.080914286,12.04074857,2.914405714,3.805182857,6.76224,8.980490057,6.63504,1.9932,10.36861714,8.303965714,4.504512,3.613834286,9.434468571,9.081051429,2.433274286,6.92472,5.728937143,4.73748,5.11116,4.838571429,12.35868,1.274845714,3.36852,5.521234286,4.025931429,13.72817143,0.655062857,4.837148571,4.842342857,5.023834286,8.859816,5.192657143,9.638228571,7.664468571,5.417931429,11.46447429,10.04917714,1.100571429,9.354,5.659834286,6.107622857,13.20324,3.260691429,4.413085714,3.993308571,9.291942857,1.490365714,2.824491429,6.08784,5.174828571,9.651925714,22.76538857,10.22821714,7.584582857,6.742251429,9.846636,11.84319429,5.150862857,21.18893143,7.35672,4.984344,6.670165714,14.95110857,17.22948,6.542365714,8.994870857,1.907588571,4.984405714,10.43242286,5.15568,8.664093257,0.908426949,13.22908595,0.990638977,5.00992549,5.577633265,1.790732182,2.163347191,11.08468045,3.072153961,3.885325084,2.745303366,-0.197395435,1.412871369,1.275073032,7.558330522,4.307634943,0.396528422,1.077382326,0.846515977,18.59184595,0.605800514,1.908361925,8.629085423,3.111268968,3.099130054,12.83521199,15.45907111,15.78598211,4.288585285,10.88064932,5.253465189,5.126575715,5.455784088,7.651834985,9.428030076,3.770166667,3.874785714,3.44247619,3.047333333,3.170166667,2.94597619,2.680738095,2.56552381,3.581666667,4.25047619,2.780214286,2.796880952,1.986285714,2.42497619,2.912690476,2.012357143,2.351238095,2.334119048,2.246357143,2.067690476,1.641666667,2.603404762,2.572571429,2.483833333,2.352714286,2.585880952,2.566642857,2.657166667,2.536928571,3.025357143,2.947619048,2.836285714,3.223571429,3.475904762,3.140738095,3.67352381,3.1505,2.974833333,3.298571429,3.681142857,3.457166667,3.540880952,3.770119048,3.634690476,3.775952381,3.760619048,3.676738095,3.638547619,3.90352381,3.680571429
303,5.611752,8.305344,11.608704,7.093368,9.4959936,0.30168,4.894776,3.203352,4.205088,9.652968,3.094776,10.21212,15.419448,5.925672,5.80094352,3.808368,5.42448,3.288744,5.3874,7.904664,5.938272,6.024672,7.84224,7.08912,3.9423888,3.487896,5.113152,3.054168,7.446168,10.865448,6.954048,6.977952,6.516144,5.251536,16.313688,6.40944,4.93236,5.634216,11.522376,9.56772,6.111792,4.992768,4.793256,7.575048,6.2964252,6.007968,6.816672,5.544072,9.636264,8.6115744,7.182576,3.647232,6.481944,6.138432,8.559792,6.165936,17.05392,14.839992,7.723152,4.832424,2.685888,9.142848,10.898424,5.98824,9.044064,12.025512,2.899296,3.766104,6.715728,8.92882656,6.670296,1.987704,10.35936,8.291592,4.5103464,3.567096,9.418248,9.041544,2.428272,6.931944,5.779224,4.798728,5.197608,4.957056,12.56616,1.173168,3.233736,5.391,3.88836,13.72536,0.661248,4.832496,4.837248,5.058792,8.8452504,5.222808,9.636696,7.694496,5.436,11.446344,10.112184,1.11024,9.370224,5.677632,6.138792,13.157928,3.259656,4.3884,3.975912,9.313416,1.44792,2.757456,6.038784,5.121936,9.635112,22.709808,10.20096,7.588224,6.730704,9.7999776,11.90016,5.169672,21.110832,7.298784,4.9915656,6.711336,14.883624,17.1882,6.556248,9.0036288,1.984896,5.001984,10.405656,5.163408,8.69937408,0.930166969,13.15522959,0.980123785,5.01862127,5.71655345,1.764954387,2.145267751,11.00931884,3.104331064,3.995470441,2.727748455,-0.208489183,1.392969995,1.263976673,7.701079851,4.303140517,0.363832757,1.074791038,0.858549243,18.96906959,0.584580378,1.858912822,8.5535069,3.064038161,3.027340999,12.67524021,15.29309318,15.61645916,4.200020119,10.97052379,5.250967765,5.108002612,5.427708629,7.601757778,9.48919603,3.7232,3.8117,3.4168,3.0525,3.172,2.9221,2.654,2.5397,3.5482,4.232,2.7704,2.7517,1.9778,2.4149,2.8899,2.0763,2.3087,2.438,2.257,2.0725,1.6224,2.6297,2.6154,2.4666,2.4464,2.5743,2.5998,2.6907,2.5038,2.9962,2.9901,2.9471,3.2533,3.5217,3.1944,3.8064,3.1983,3.0119,3.421,3.6962,3.4812,3.6682,3.7373,3.5853,3.8398,3.8,3.8079,3.7566,3.8745,3.7775
304,5.649222857,8.346342857,11.63730857,7.099868571,9.660301714,0.33696,4.873782857,3.166868571,4.172245714,9.693822857,3.056142857,10.01931429,15.31100571,5.924108571,5.709896229,3.820628571,5.395268571,3.357,5.48856,7.850365714,5.82048,5.886462857,7.756714286,6.974125714,3.880512,3.423137143,5.015108571,3.016182857,7.386274286,10.80997714,6.851571429,6.866537143,6.419674286,5.139102857,16.23744,6.407897143,4.938171429,5.672365714,11.45098286,9.520302857,6.112337143,4.972782857,4.787794286,7.553211429,6.277685143,5.921485714,6.785382857,5.548062857,9.609377143,8.544576857,7.179685714,3.64572,6.446828571,6.056228571,8.502377143,6.149365714,16.96160571,14.72970857,7.650514286,4.831664914,2.651091429,9.087274286,10.87066286,6.002588571,8.975828571,12.03644571,2.932714286,3.7476,6.698314286,8.892039086,6.662828571,1.941274286,10.33508571,8.272234286,4.4955,3.555257143,9.348942857,8.975365714,2.392302857,6.915188571,5.707697143,4.751434286,5.161525714,4.930765714,12.5856,1.186868571,3.179777143,5.39244,3.85668,13.56037714,0.737897143,4.910811429,4.908137143,5.131542857,8.870868,5.208068571,9.647177143,7.662805714,5.387605714,11.43313714,10.10710286,1.150148571,9.30276,5.674731429,6.145354286,13.12529143,3.21912,4.324782857,3.912737143,9.283885714,1.330405714,2.601411429,5.911405714,4.965068571,9.527451429,22.59488571,10.09805143,7.530377143,6.670542857,9.720864,11.93364,5.10588,20.98568571,7.20144,4.984092,6.810634286,14.92050857,17.18624571,6.644005714,9.071259429,2.079154286,5.056045714,10.42369714,5.207142857,8.764366629,0.952159563,13.08299432,0.970317772,5.027477817,5.854439919,1.741267245,2.128035514,10.93589244,3.138790596,4.106312423,2.710838556,-0.219863578,1.373340249,1.253417233,7.84243192,4.299274716,0.331971924,1.072158897,0.869952436,19.34107709,0.565432433,1.811854838,8.480802488,3.020237586,2.958565578,12.52079011,15.13203086,15.45205883,4.115837578,11.06598862,5.249978161,5.090823416,5.401729625,7.553808575,9.558815509,3.740857143,3.799714286,3.397785714,3.013428571,3.101142857,2.877785714,2.627714286,2.478214286,3.467285714,4.179285714,2.771214286,2.722,1.960214286,2.490571429,2.8945,2.069714286,2.382071429,2.453357143,2.270928571,2.101714286,1.668642857,2.7355,2.700428571,2.478142857,2.4715,2.646714286,2.755214286,2.717857143,2.630571429,3.018142857,3.035071429,3.015357143,3.391214286,3.536,3.223928571,3.847357143,3.252642857,3.053571429,3.498642857,3.7205,3.570142857,3.753071429,3.719214286,3.605857143,3.897357143,3.843357143,3.845428571,3.836285714,4.0165,3.852428571
305,5.59404,8.26677,11.53872,6.97563,9.760968,0.35622,4.87431,3.13551,4.21443,9.72063,3.10716,10.11447,15.37722,6.02802,5.661189,3.76587,5.36841,3.33252,5.36562,7.73334,5.75847,5.82588,7.7499,6.91137,3.84741,3.42441,5.00292,2.99952,7.33122,10.78128,6.85782,6.9084,6.41286,5.12469,16.21278,6.30846,4.87053,5.62347,11.35026,9.3555,6.02352,4.93245,4.6467,7.46694,6.2070255,5.81931,6.70626,5.508,9.47736,8.5167225,7.13358,3.65013,6.39675,6.00552,8.4708,6.08976,16.85637,14.55525,7.60689,4.77486,2.68443,9.02673,10.81674,5.9931,8.96796,12.12111,3.00897,3.84435,6.79311,8.964504,6.70086,1.93059,10.31535,8.29908,4.479111,3.64761,9.42381,9.07731,2.44818,6.98049,5.66946,4.75866,5.07573,4.90176,12.60747,1.18197,3.12912,5.34393,3.82149,13.52511,0.71262,4.89348,4.88682,5.07105,8.837703,5.12352,9.55242,7.53822,5.30928,11.2401,10.01061,1.15839,9.23652,5.65038,6.12765,13.22541,3.303,4.36041,3.98871,9.33039,1.23327,2.52135,5.80212,4.83669,9.4257,22.46247,10.00872,7.45731,6.62976,9.659916,11.87937,5.04819,20.80206,7.10271,4.960746,6.83307,14.87484,17.13861,6.65316,9.10728,2.10024,5.08464,10.3851,5.20839,8.7682176,0.974273346,13.01235592,0.961171994,5.036358403,5.991187459,1.719815531,2.111681026,10.86436895,3.175347675,4.217950085,2.694351843,-0.231833696,1.353681928,1.243186838,7.982305995,4.296028162,0.300771379,1.06948253,0.880498254,19.70804538,0.548391056,1.767196141,8.411004936,2.979871848,2.892837548,12.37225726,14.97603133,15.29292798,4.036261378,11.16759447,5.250696673,5.075135281,5.378007461,7.508020797,9.637248577,3.784125,3.860625,3.381625,2.985875,3.040875,2.815625,2.589125,2.438875,3.438875,4.114875,2.699625,2.707625,1.888625,2.4625,2.868875,2.014125,2.36725,2.45325,2.34275,2.1015,1.67925,2.7425,2.778375,2.499125,2.5695,2.6995,2.83125,2.74675,2.7485,3.085375,3.052375,3.003125,3.417375,3.50525,3.31125,3.83675,3.233625,3.078,3.545625,3.759125,3.62275,3.900375,3.697625,3.654875,3.925125,4.011875,3.919625,3.854,4.057,4.010125
306,5.648348571,8.255228571,11.45933143,6.967405714,9.814134857,0.394782857,4.775125714,3.07164,4.14096,9.625405714,3.110794286,9.950108571,15.35286857,6.069857143,5.673434229,3.810308571,5.433,3.489205714,5.416542857,7.865982857,5.751497143,5.77716,7.696148571,6.856028571,3.855732,3.463731429,5.019788571,2.99076,7.405371429,10.80116571,6.830708571,6.840891429,6.282942857,5.068937143,16.04223429,6.26256,4.828217143,5.573502857,11.23188,9.269537143,5.955891429,4.847862857,4.597491429,7.352057143,6.156807429,5.730617143,6.602434286,5.42844,9.378154286,8.460236571,7.130742857,3.62424,6.383194286,5.954314286,8.36328,6.08328,16.77966857,14.41134857,7.587154286,4.750569257,2.66364,8.989851429,10.81623429,6.023554286,8.949925714,12.17532,3.079337143,3.919731429,6.824914286,8.977662857,6.663291429,1.847468571,10.27086857,8.260148571,4.450584,3.607251429,9.451354286,9.07032,2.421411429,7.015851429,5.656354286,4.784794286,5.021897143,4.869342857,12.60058286,1.199588571,3.10176,5.330485714,3.770434286,13.44934286,0.741034286,4.907228571,4.881771429,5.098491429,8.834784,5.017028571,9.427782857,7.472194286,5.206131429,11.10058286,9.943611429,1.11036,9.109542857,5.555691429,6.02652,13.19021143,3.303171429,4.313554286,4.017685714,9.297582857,1.289777143,2.623508571,5.843537143,4.866377143,9.423188571,22.39256571,9.883954286,7.432302857,6.583525714,9.609,11.90982857,5.094411429,20.72223429,7.059497143,4.916472,6.775371429,14.79641143,17.04430286,6.640045714,9.067762286,2.101165714,5.019497143,10.34388,5.160788571,8.728115657,0.996376932,12.94329018,0.952637507,5.045126295,6.126690857,1.700744024,2.096234834,10.79471605,3.213817422,4.330482486,2.67806649,-0.244714609,1.33369483,1.23307761,8.120621344,4.29339148,0.270056575,1.066758566,0.889959395,20.0701514,0.533490622,1.724944897,8.344146995,2.942945552,2.83019067,12.23003724,14.82524174,15.13921348,3.961515234,11.27589196,5.253323601,5.061035362,5.356702522,7.464427866,9.724855299,3.769571429,3.904309524,3.384357143,2.948666667,3.004785714,2.84347619,2.570047619,2.476619048,3.504095238,4.166619048,2.718214286,2.718809524,1.932190476,2.49847619,3.005071429,2.044642857,2.491071429,2.52,2.447452381,2.163357143,1.743214286,2.868380952,2.836142857,2.54447619,2.677261905,2.753952381,2.804,2.781095238,2.851357143,3.088142857,3.191619048,3.131190476,3.430380952,3.543404762,3.339071429,3.925595238,3.298833333,3.112357143,3.592738095,3.797404762,3.701095238,3.904952381,3.794571429,3.684690476,4.015452381,4.118214286,3.945547619,3.993880952,4.111571429,4.00202381
307,5.703228,8.220834,11.460708,6.990678,9.8164224,0.3996,4.723992,3.0096,4.29732,9.673344,3.229614,9.676008,15.29676,6.107076,5.72250078,3.780756,5.412636,3.540546,5.421546,7.855326,5.76441,5.815926,7.8066,6.933564,3.8890782,3.542886,5.107626,3.101472,7.498998,10.836108,6.699042,6.741972,6.182154,4.95837,15.851178,6.328098,4.861908,5.633748,11.248434,9.270882,5.94279,4.881366,4.583826,7.37028,6.1519653,5.753916,6.621768,5.440032,9.35991,8.3730816,7.112718,3.601098,6.333264,5.929452,8.323308,6.071976,16.690284,14.321574,7.606116,4.76206308,2.688408,8.994222,10.804032,6.065586,8.882082,12.34161,3.301776,4.125636,7.042752,9.08818488,6.730884,1.85346,10.290222,8.292114,4.4554356,3.67947,9.435924,9.079344,2.500074,7.02396,5.571648,4.695354,5.002434,4.831074,12.568374,1.243278,3.14613,5.345208,3.783204,13.40046,0.833292,4.998042,4.989366,5.199336,8.796375,5.057838,9.467766,7.50744,5.230746,11.131902,9.90477,1.079874,9.101088,5.520114,5.94216,13.121172,3.242628,4.275342,3.975264,9.23013,1.36548,2.67642,5.886792,4.928202,9.4176,22.368834,9.860436,7.391142,6.567084,9.5893182,11.93445,5.18814,20.672532,7.073712,4.9661892,6.76341,14.761404,17.043966,6.643044,9.0598896,2.141478,5.029794,10.295748,5.15871,8.73259056,1.018557805,12.87585054,0.944789436,5.053905281,6.261068231,1.683948756,2.081662756,10.72697528,3.25436953,4.443808749,2.66218407,-0.25824175,1.313637577,1.22326284,8.257457488,4.291383737,0.240033204,1.063975043,0.898533391,20.42730517,0.520719441,1.685105111,8.280218491,2.909461169,2.770628512,12.09369827,14.67951989,14.99073441,3.891377863,11.39037831,5.257612813,5.04839436,5.33761481,7.422963597,9.821284546,3.758775,3.8983,3.37335,2.956475,2.9893,2.869725,2.543825,2.500775,3.488675,4.1236,2.6951,2.6743,1.902375,2.585725,2.97045,2.080175,2.5026,2.711075,2.476975,2.179925,1.7755,2.88045,2.890725,2.537875,2.733625,2.66325,2.82045,2.77325,2.9017,3.014025,3.13115,3.111975,3.43515,3.665075,3.439925,3.924375,3.2618,3.019275,3.684925,3.824475,3.74235,3.93045,3.79035,3.68895,4.0242,4.127875,3.7753,4.081775,4.03385,3.9621
308,5.671868571,8.176834286,11.44450286,7.024868571,9.89328,0.413297143,4.724331429,3.034971429,4.238742857,9.611125714,3.159737143,9.585325714,15.16626857,6.344365714,5.770336629,3.873188571,5.46876,3.632622857,5.454925714,7.83708,5.771314286,5.8662,7.809325714,6.929297143,3.921588,3.57168,5.184634286,3.189,7.586931429,10.81561714,6.676542857,6.689845714,6.162308571,4.977857143,15.79407429,6.351994286,4.832948571,5.602628571,11.16756,9.239451429,5.889445714,4.8624,4.608531429,7.347171429,6.100201714,5.733154286,6.625234286,5.404765714,9.31848,8.325608571,6.993257143,3.504822857,6.191588571,5.767834286,8.21532,5.933862857,16.56054857,14.11851429,7.495302857,4.655318057,2.614542857,8.902937143,10.67979429,5.950457143,8.732365714,12.35547429,3.292405714,4.156182857,7.074325714,9.0381936,6.730114286,1.851257143,10.25165143,8.293731429,4.458672,3.644108571,9.393651429,9.0408,2.539577143,7.003782857,5.44872,4.623805714,4.917257143,4.744285714,12.51468,1.31376,3.238302857,5.393177143,3.831548571,13.29984,0.7824,4.902274286,4.876868571,5.113457143,8.685192,5.191234286,9.574542857,7.59192,5.331188571,11.25318857,10.04312571,1.214828571,9.25488,5.6262,6.07248,13.10521714,3.2358,4.245737143,3.980211429,9.217577143,1.326771429,2.698028571,5.816914286,4.859348571,9.310525714,22.23744,9.731862857,7.31412,6.498102857,9.551928,11.90230286,5.140834286,20.59830857,7.070537143,4.931268,6.728862857,14.71088571,17.00592,6.636102857,8.995611429,2.146062857,5.02644,10.27028571,5.138708571,8.665500343,1.041056885,12.81010109,0.937741637,5.062959686,6.39453846,1.669167844,2.067901887,10.66121653,3.297362368,4.557737347,2.647128714,-0.271830783,1.294074322,1.214128649,8.392976365,4.290036375,0.21106596,1.061124018,0.906648255,20.77920859,0.510033862,1.647677304,8.219179079,2.879426241,2.714121367,11.96245442,14.5385909,14.84719118,3.825431897,11.51002127,5.26314341,5.037000457,5.320405981,7.383540722,9.925848764,3.740833333,3.835380952,3.321190476,2.982428571,2.985880952,2.844619048,2.538333333,2.531428571,3.480261905,4.110095238,2.629785714,2.618357143,1.840880952,2.502285714,2.872928571,2.014809524,2.41947619,2.721214286,2.325428571,2.144238095,1.79052381,2.755047619,2.911880952,2.578809524,2.748904762,2.595785714,2.784095238,2.807357143,2.829571429,2.884357143,3.008619048,3.01852381,3.413547619,3.621809524,3.346952381,3.843904762,3.117666667,2.983333333,3.680690476,3.773309524,3.687214286,3.888428571,3.733928571,3.63047619,3.844452381,4.096380952,3.774142857,4.08002381,3.942166667,3.947095238
309,5.772744,8.249976,11.538792,7.167816,9.844992,0.492624,4.723416,3.142728,4.290912,9.630936,3.230568,9.5184,15.133104,6.392376,5.93027856,3.89484,5.435064,3.648312,5.461344,7.832952,5.888232,6.006816,7.937208,7.048224,4.0302864,3.590208,5.239224,3.23676,7.627824,10.832976,6.612336,6.662016,6.083568,4.933296,15.685992,6.34608,4.785264,5.58684,11.18052,9.259416,5.856768,4.8708,4.63068,7.315992,6.0636888,5.699808,6.63984,5.42628,9.335088,8.2682964,6.934248,3.418056,6.115896,5.738544,8.13132,5.82408,16.412184,13.924944,7.393392,4.58669952,2.60028,8.858952,10.622952,5.8896,8.601336,12.384576,3.298104,4.140936,7.07688,8.97320448,6.88284,1.975176,10.35684,8.381808,4.5307584,3.715992,9.4068,9.104112,2.566584,7.062192,5.38452,4.58496,4.86108,4.696056,12.450888,1.365192,3.255192,5.404464,3.887064,13.292712,0.726192,4.887576,4.801824,5.059368,8.622432,5.112,9.490176,7.544664,5.319792,11.1672,10.04472,1.27764,9.310176,5.666904,6.093432,13.055832,3.178584,4.205448,3.935808,9.122904,1.374336,2.727288,5.814504,4.81608,9.349848,22.083192,9.643392,7.252704,6.483096,9.5545296,11.845368,5.082768,20.424744,7.087032,4.98834,6.741648,14.69016,16.974432,6.61788,8.9143488,2.15028,5.046984,10.266264,5.159304,8.6432832,1.063972938,12.74603364,0.931503262,5.072363591,6.527147471,1.656309189,2.054939694,10.59745002,3.342894065,4.672231358,2.633012431,-0.285317128,1.275163164,1.205786407,8.527220871,4.289358585,0.183218791,1.05820815,0.914422405,21.1257264,0.501420319,1.61266442,8.161016248,2.852852973,2.660653082,11.83617008,14.40240293,14.70855269,3.763606927,11.63457729,5.269853534,5.026827034,5.305028903,7.346161034,10.03840338,3.7686,3.8188,3.3173,2.9432,2.9936,2.8283,2.5191,2.5573,3.5105,4.1501,2.6608,2.6759,1.8576,2.4743,2.8106,1.9751,2.406,2.7138,2.2264,2.047,1.8189,2.6606,2.8282,2.6222,2.6742,2.4935,2.6626,2.8109,2.8683,2.9076,3.0471,2.9738,3.414,3.5682,3.3367,3.8064,3.0732,3.0589,3.6467,3.7532,3.7314,3.8021,3.6701,3.5983,3.7939,4.0703,3.7121,3.8917,3.7881,3.9143
