wl,F001,F003,F006,F008,F009,F013,F017,F021,F023,F024,F028,F030,F032,F036,F039,F042,F044,F045,F047,F049,F052,F053,F054,F058,F059,F063,F064,M004,M005,M010,M011,M012,M014,M015,M016,M018,M019,M020,M022,M025,M026,M029,M031,M033,M034,M037,M038,M040,M041,M043,M046,M048,M050,M055,M056,M057,M060,M061,M062
300,3.401117574,3.713773506,4.166381957,5.785383415,4.106665414,3.713773506,4.992793208,5.498789521,2.432136363,3.756787598,4.098239994,3.897661752,4.274531447,2.881294288,3.22497925,3.663212471,3.152729102,3.673002164,3.113778999,4.713492874,3.437256382,3.719934608,2.916033186,3.414948052,3.376793869,3.304732043,3.383001046,3.496373519,3.098139395,5.21282216,2.395376828,2.791677956,3.60294651,2.410303359,2.659682955,3.662615478,3.419872319,4.798570544,5.25680634,3.128365703,3.978485973,3.586783405,3.362536556,3.695015767,3.250734617,4.606265387,4.767332855,3.268556118,3.128350273,3.24585935,2.930673845,3.815453041,3.773732771,3.460698747,2.493009122,2.454754093,3.291896492,3.703785452,2.727259624
301,3.40522298,3.748649854,4.157944169,5.744989215,4.094506414,3.748649854,5.090200441,5.556634553,2.656236699,3.893482242,4.130468831,3.934187179,4.283752535,2.886399786,3.241516397,3.6697544,3.169828661,3.674378503,3.166768863,4.715674552,3.453281866,3.720819371,2.954734086,3.391441947,3.35937673,3.314328921,3.413653883,3.454082335,3.18802174,5.16720209,2.430756249,2.811971834,3.637831595,2.555540525,2.867578184,3.677489091,3.715401489,4.827025405,5.382511237,3.263278857,4.047204841,3.603721451,3.468899239,3.645727672,3.304414391,4.558237344,4.710778014,3.313878694,3.196327615,3.322657144,2.948826481,3.755346202,3.820014879,3.604958403,2.61559931,2.584732113,3.303164665,3.7126309,2.744336552
302,3.409379732,3.782581096,4.149913911,5.70494408,4.082635196,3.782581096,5.184952522,5.612628993,2.878291699,4.027263944,4.161674599,3.969613776,4.292626943,2.89127471,3.257771572,3.676065429,3.186757403,3.675988566,3.220034923,4.717866098,3.469027695,3.721329557,2.992295631,3.368497701,3.342431184,3.324090835,3.443634842,3.413569498,3.277356237,5.123575526,2.465836471,2.832429916,3.672435883,2.69884214,3.073722188,3.692139417,4.007334348,4.854903045,5.505998071,3.397108601,4.116325777,3.620762775,3.574664056,3.597441828,3.359676281,4.511614285,4.655489994,3.359043745,3.264371408,3.399599474,2.967114821,3.697117459,3.865357731,3.748223438,2.737121387,2.714519732,3.315029405,3.721482013,2.761223904
303,3.413596485,3.815561683,4.142310114,5.665252692,4.071056788,3.815561683,5.277013306,5.666738523,3.098481121,4.158155532,4.191852188,4.003896159,4.301161111,2.895900799,3.273750645,3.682144235,3.203521819,3.677839424,3.273660847,4.720069056,3.484495772,3.721455211,3.0286999,3.346138064,3.325964222,3.334045061,3.47294509,3.37489853,3.366184172,5.082021785,2.500610205,2.853107868,3.706770664,2.840292065,3.27830375,3.706561217,4.295889497,4.882200782,5.627311918,3.529947313,4.185933546,3.637902811,3.679916134,3.550130454,3.416690047,4.466435376,4.601498887,3.404082815,3.332544541,3.476767305,2.98556223,3.640824615,3.909771606,3.890626942,2.857661014,2.844264203,3.327515227,3.730358214,2.77792744
304,3.417881894,3.847586071,4.135151708,5.62591973,4.059776218,3.847586071,5.366346648,5.718928824,3.316984718,4.286179835,4.22099649,4.036988944,4.309361478,2.900259789,3.289459484,3.687989497,3.220128399,3.679938145,3.327730303,4.722284971,3.499687999,3.721186379,3.063928971,3.324385784,3.309982836,3.34421888,3.501585792,3.338132951,3.454546828,5.042620181,2.535070162,2.874061358,3.740847229,2.979974162,3.481511654,3.720749256,4.581285537,4.908915936,5.746497854,3.661887375,4.256112915,3.655136992,3.784740596,3.503765767,3.475625448,4.422739787,4.54883479,3.449027452,3.400909906,3.554241604,3.004192069,3.586525472,3.953266784,4.032302002,2.977303854,2.974112782,3.340646647,3.739278925,2.794452919
305,3.422244615,3.878648713,4.128457626,5.586949876,4.048798513,3.878648713,5.452916406,5.769165578,3.533982246,4.411359679,4.249102395,4.068846744,4.317234487,2.904333419,3.304903957,3.693599894,3.236583633,3.682291801,3.382326959,4.724515386,3.514606277,3.720513108,3.097964926,3.303263613,3.294494016,3.354639568,3.529558115,3.303336284,3.542485492,5.00545003,2.569209054,2.895346051,3.774676869,3.117972291,3.683534684,3.734698297,4.863741071,4.935045825,5.863600955,3.793021165,4.326948651,3.672460754,3.889222567,3.458319985,3.536652245,4.380566685,4.497527794,3.493909202,3.469530394,3.632103335,3.023027702,3.534277831,3.995853542,4.173381708,3.096135569,3.104212722,3.354448181,3.748263571,2.810806101
306,3.426693305,3.908744063,4.122246798,5.54834781,4.038128702,3.908744063,5.536686435,5.817414467,3.749653462,4.533717895,4.276164793,4.099424177,4.324786576,2.908103426,3.320089934,3.698974104,3.252894011,3.68490746,3.437534482,4.726761846,3.529252511,3.719425441,3.130789842,3.2827943,3.279504756,3.365334404,3.556863224,3.27057205,3.630041449,4.970590647,2.603019591,2.917017614,3.808270876,3.254370314,3.884561624,3.748403103,5.143474699,4.960587768,5.978666297,3.923441063,4.39852552,3.68986953,3.993447173,3.413765327,3.599940196,4.339955239,4.447607996,3.53875961,3.538468894,3.710433463,3.042092491,3.484139495,4.03754216,4.313999149,3.21424182,3.234711279,3.368944345,3.757331575,2.826992744
307,3.431236617,3.937866574,4.116538155,5.510118215,4.027771811,3.937866574,5.617620591,5.863641172,3.96417812,4.653277308,4.302178577,4.128675856,4.332024188,2.911551548,3.335023284,3.704110806,3.269066024,3.687792194,3.493436541,4.729025893,3.543628601,3.717913426,3.162385802,3.263000594,3.265022045,3.376330666,3.583502285,3.23990377,3.717255983,4.938121348,2.636494486,2.939131713,3.84164054,3.389252093,4.084781258,3.761858439,5.420705023,4.985539084,6.091738957,4.05323945,4.47092829,3.707358755,4.097499538,3.37007401,3.665659063,4.300944617,4.399105487,3.583610223,3.607788299,3.789312954,3.0614098,3.436168265,4.078342916,4.454287414,3.331708271,3.365755706,3.384159654,3.766502359,2.843018609
308,3.435883209,3.9660107,4.111350629,5.47226577,4.017732869,3.9660107,5.695682729,5.907811374,4.177735976,4.770060749,4.327138636,4.156556397,4.338953761,2.914659523,3.349709873,3.709008678,3.28510616,3.690953072,3.550116802,4.731309072,3.557736449,3.715967108,3.192734882,3.243905245,3.251052876,3.387655632,3.609476464,3.211394965,3.80417038,4.908121448,2.669626448,2.961744014,3.874797153,3.522701489,4.284382368,3.775059067,5.695650645,5.00989709,6.20286401,4.182508704,4.544241726,3.724923862,4.201464787,3.327218253,3.733978604,4.263573986,4.352050363,3.628492586,3.677551498,3.868822772,3.081002992,3.390421943,4.118266089,4.594379593,3.448620582,3.497493259,3.400118626,3.775795347,2.858889454
309,3.440641736,3.993170894,4.10670315,5.434795158,4.008016903,3.993170894,5.770836706,5.949890756,4.390506785,4.884091044,4.351039861,4.183020416,4.345581737,2.917409088,3.364155573,3.7136664,3.301020911,3.694397164,3.607658936,4.733612927,3.571577959,3.713576533,3.221819165,3.225531003,3.23760424,3.399336581,3.634786927,3.185109158,3.890825924,4.880670263,2.702408191,2.984910185,3.907752006,3.654802362,4.48355374,3.787999751,5.968530165,5.033659107,6.312086532,4.311341206,4.618550596,3.742560285,4.305428046,3.285170272,3.805068579,4.227882516,4.306472718,3.673438248,3.747821383,3.949043883,3.100895429,3.346958332,4.157321958,4.734408774,3.565064417,3.630071192,3.416845775,3.785229962,2.874611038
