wl,F001,F003,F006,F008,F009,F013,F017,F021,F023,F024,F028,F030,F032,F036,F039,F042,F044,F045,F047,F049,F052,F053,F054,F058,F059,F063,F064,M004,M005,M010,M011,M012,M014,M015,M016,M018,M019,M020,M022,M025,M026,M029,M031,M033,M034,M037,M038,M040,M041,M043,M046,M048,M050,M055,M056,M057,M060,M061,M062,M007
300,9.028538466,12.7457854,17.14710794,14.99087479,9.608848741,12.7457854,9.913976469,10.30059096,18.2171817,13.16937744,6.684268992,10.33752426,10.86731665,9.220662118,6.585200259,7.350398413,10.83185552,12.86978536,5.972815925,10.20537231,7.989698562,5.26526763,8.776898219,7.433868629,8.771792411,7.719483146,12.64339867,7.034293014,7.064717839,13.67481558,8.569419792,14.1421077,10.52167381,7.726914914,7.281471849,9.236110465,14.51525128,12.87446286,12.30399937,10.80477832,12.18579688,14.19703583,9.262919358,9.262943952,11.23283063,9.563496865,10.30584944,9.0638943,6.333251429,6.718522373,7.974662278,9.611454719,13.23832973,7.824060973,6.214836093,13.82466298,9.710930464,7.66343553,19.56255094,10.90857252
301,9.258880816,12.89828017,17.3959579,15.04133766,9.745814144,12.89828017,10.2578917,10.66867256,18.43055121,13.3887927,6.941450953,10.56609558,11.29273786,9.59303688,6.839565142,7.772643936,11.17117333,13.04441623,6.202268037,10.3475054,8.310968014,5.517145867,9.166197136,7.706664204,9.02059182,7.982742512,12.82466726,7.387559274,7.624480363,13.54609142,8.959057841,14.39993616,11.02881439,8.295216485,7.517556078,9.605638602,14.82060333,13.06772278,12.67413167,11.10551647,12.48083212,14.49084281,9.653733786,9.31162347,11.53914901,9.830566534,10.53198164,9.436452823,6.664056137,7.008792743,8.382360205,9.757620822,13.37066534,8.134625576,6.380845083,13.94190147,10.10142481,8.003540802,19.73992689,10.86238686
302,9.48056629,13.04456514,17.63412362,15.08763858,9.877678381,13.04456514,10.59019446,11.02407019,18.63577496,13.60003087,7.190178709,10.7867899,11.70453532,9.953651966,7.086070389,8.182172544,11.49893283,13.21253418,6.423967072,10.48490413,8.621619284,5.760898409,9.542670876,7.969802394,9.260443652,8.237297786,12.99895482,7.729588929,8.166537804,13.4171596,9.336340048,14.6488681,11.51992664,8.846154319,7.745877655,9.962458438,15.11483819,13.25304651,13.0315559,11.3953885,12.76576316,14.77430877,10.03142072,9.356092733,11.8354202,10.08776191,10.74953316,9.796293416,6.984584662,7.289411274,8.777605427,9.897521701,13.49785006,8.434712203,6.540800632,14.05410262,10.47879925,8.331845987,19.91022078,10.81368531
303,9.693377226,13.18444454,17.86126477,15.12963039,10.00429935,13.18444454,10.9105629,11.36644395,18.83262302,13.80286346,7.430250964,10.99938109,12.10232939,10.30221101,7.32451739,8.57864659,11.8148128,13.37394817,6.637723748,10.61743844,8.921357934,5.996307695,9.905942354,8.222978219,9.491103112,8.482915275,13.16604847,8.060084761,8.69044481,13.28785819,9.70095892,14.88866952,11.99461357,9.379300348,7.966242837,10.30622156,15.39765861,13.43022041,13.37595994,11.67406556,13.04031229,15.04713133,10.39562602,9.396146594,12.12141533,10.33479692,10.95823965,10.14307321,7.294553213,7.560105207,9.160074728,10.03097686,13.61972638,8.724020333,6.694521593,14.1611147,10.84267787,8.647991631,20.07323074,10.76224871
304,9.897095958,13.31772258,18.07704103,15.16716595,10.12553495,13.31772258,11.21867516,11.69545395,19.02086548,13.99706196,7.661466423,11.20364303,12.48574041,10.63841766,7.554707534,8.961728429,12.11849204,13.52846713,6.843348782,10.74497828,9.209889527,6.223156167,10.25563449,8.465886694,9.712325402,8.719361283,13.32573531,8.378749554,9.195756029,13.15802524,10.05260696,15.11910643,12.45247818,9.8942265,8.178457884,10.63657956,15.66876731,13.59903081,13.70703169,11.94121879,13.30420181,15.30900807,10.74599554,9.431579907,12.39690557,10.57138546,11.15783672,10.47644935,7.593677999,7.820601783,9.529444891,10.15780581,13.73613678,9.00224944,6.841826818,14.26278596,11.19268476,8.951618278,20.22875486,10.70785792
305,10.09150482,13.44420351,18.28111209,15.20009811,10.24124309,13.44420351,11.51420939,12.01076033,19.20027241,14.18239786,7.883623789,11.3993496,12.85438873,10.96197555,7.776442211,9.331080415,12.40964936,13.67590001,7.040652889,10.86739359,9.486919625,6.441226264,10.5913702,8.698222839,9.923865728,8.946402118,13.47780245,8.685286092,9.682026109,13.02749881,10.39097669,15.33994484,12.89312346,10.39050471,8.382329055,10.95318403,15.92786702,13.75926409,14.02445903,12.19651932,13.55715402,15.55963658,11.08217514,9.462187526,12.66166206,10.79724145,11.34806002,10.79607896,7.881675226,8.070628243,9.8853927,10.27782806,13.84692375,9.269099001,6.982535158,14.35896467,11.528444,9.242366472,20.37659125,10.65029377
306,10.27638616,13.56369154,18.47313762,15.22827971,10.35128165,13.56369154,11.79684372,12.31202319,19.3706139,14.35864266,8.096521767,11.58627467,13.20789469,11.27258831,7.989522808,9.6863649,12.68796352,13.81605576,7.229446786,10.98455432,9.752153789,6.650300429,10.91277239,8.919681671,10.12547929,9.163804084,13.62203701,8.979397157,10.1488097,12.89611694,10.7157606,15.55095076,13.31615243,10.8677069,8.577662608,11.25568655,16.17466047,13.91070657,14.32792985,12.4396383,13.79889124,15.79871446,11.40381069,9.487764304,12.91545595,11.0120788,11.52864518,11.10161918,8.158261104,8.309911827,10.22759494,10.39086312,13.95192977,9.524268493,7.116465465,14.44949909,11.84957968,9.519876757,20.51653801,10.58933711
307,10.45152229,13.6759909,18.65277731,15.25156362,10.45550855,13.6759909,12.06625632,12.59890265,19.53166003,14.52556786,8.29995906,11.76419213,13.54587865,11.5699596,8.193750717,10.02724424,12.95311334,13.94874331,7.409541189,11.0963304,10.00529758,6.850161101,11.219464,9.129958209,10.3169213,9.371333489,13.7582261,9.260785534,10.59566144,12.7637177,11.0266512,15.7518902,13.72116807,11.32540501,8.764264801,11.54373871,16.40885039,14.05314462,14.61713204,12.67024688,14.02913574,16.02593931,11.71054804,9.508105095,13.15805839,11.21561143,11.69932783,11.39272714,8.423151842,8.538179776,10.55572839,10.49673049,14.05099733,9.767457391,7.243436592,14.53423749,12.15571588,9.783789678,20.64839326,10.52476879
308,10.61669557,13.78090582,18.81969084,15.26980267,10.55378168,13.78090582,12.32212531,12.87105883,19.68318088,14.68294495,8.493734372,11.93287586,13.86796094,11.85379304,8.388927325,10.35338078,13.2047776,14.07377162,7.580746816,11.20259179,10.24605657,7.040590721,11.51106794,9.328747469,10.49794696,9.568756637,13.88615682,9.529154005,11.022136,12.63013915,11.32334099,15.94252917,14.10777338,11.76317096,8.941941894,11.8169921,16.6301395,14.18636459,14.89175348,12.88801618,14.24760985,16.2410087,12.00203305,9.523004753,13.38924054,11.40755325,11.8598436,11.66905998,8.676063646,8.755159331,10.86946984,10.59524967,14.1439689,9.998365173,7.363267389,14.61302811,12.4464767,10.03374578,20.7719551,10.45636965
309,10.77168832,13.87824052,18.97353789,15.28284973,10.64595894,13.87824052,12.56412886,13.12815183,19.82494652,14.83054543,8.677646408,12.09209973,14.17376192,12.12379227,8.574854022,10.66443689,13.4426351,14.19094962,7.742874382,11.30320842,10.4741363,7.22137173,11.78720711,9.515744469,10.66831146,9.755839835,14.00561629,9.784205353,11.427788,12.49521933,11.6055225,16.12263368,14.47557138,12.18057669,9.110500144,12.07509832,16.83823055,14.31015282,15.15148208,13.09261735,14.45403585,16.44362024,12.27791158,9.53225813,13.60877355,11.58761817,12.00992814,11.93027483,8.916712727,8.960577733,11.16849607,10.68624019,14.23068698,10.21669132,7.475776708,14.68571923,12.72148622,10.2693856,20.88702162,10.38392054
