wl,F_27657_A,F_27657_S,F_27653_A,F_27653103_A,F_27653101_A,F_27653102_A,F_27656_A,F_RD20011100_A,F_RD20011_A,F_RD20011_C,F_27631_A,F_27631_S,F_27632_AWHITE,F_27632_A.YELL,F_27634_A,F_27635_K,F_27635_C,F_27635_P,F_27636_A,F_27636_X,F_27633_A,F_27638_A,F_27639_W,F_27639_P,F_27640_A,F_27641_A,F_27642_P,F_27642_Y,F_27644_S,F_27644_A,F_27643_A,F_27645_P,F_27645_R,F_27645_A,F_27648_A,F_27649_P,F_27649_W,F_27650_A,F_27651_A,F_27685_A,F_RD20014_A,F_RD20014_J,F_27658_A,F_27659_K,F_27659_P,F_27659_A,F_27661_A,F_27662_K,F_27663_A,F_27664_A,F_27665_A,F_27666_A,F_27666_I,F_27668_S,F_27669_A,F_27670_S,F_27671_A,F_27672_A,F_27673_A,F_27673_S,F_27674_Y,F_27674_E,F_27674_A,F_27680_A,F_27681_A,F_27682_K,F_27682_P,F_27683_A,F_27683_W,F_27683_Y,F_27688_Z,F_27688_A,F_27688_K,F_27688_P,F_27688_S
300,2.167111224,2.976440176,1.942108952,0,0.363835371,2.293992521,0.655699997,0,0,0.128192364,1.688263243,3.193479676,2.794851151,4.070018168,4.250852507,1.447096725,2.63905691,3.309392107,2.05976784,1.354281227,2.947922331,0.35478906,1.006604418,1.099098129,1.750259141,0.418871338,3.446873393,0,0.309233413,1.527067786,1.079618228,5.679843357,1.432732924,1.023403448,1.308680092,2.891969257,13.15691766,1.438587777,1.868390293,3.983106367,30.43426277,1.412792482,1.447656325,8.762080902,2.623724,2.605226022,2.119013109,99.95826777,1.805687208,2.18681059,3.136843026,1.92282513,1.24437114,0.168098684,2.918144658,1.661030384,5.227940498,4.018751016,2.123042006,2.932017264,4.229694358,2.585388917,2.250435038,2.210993959,35.8541796,6.220105739,5.665961555,3.909934459,2.800931614,1.431083207,0.952065888,2.947964332,12.92107903,5.395428986,3.089648185
301,2.014254897,2.942505801,1.893767164,0,0.350192106,2.243805553,0.636709329,0,0,0.112199047,1.54104318,3.183801005,2.753639568,4.036573246,4.198848019,1.428611805,2.598527741,3.295034001,2.011020794,1.354512551,2.797605863,0.371600305,1.029395886,1.105776649,1.846271133,0.445539231,3.387229523,0,0.294183,1.468147205,1.029376511,5.358254383,1.392736352,0.999151103,1.243926474,2.828776853,13.04470811,1.43480267,1.782134608,3.996542111,31.02405487,1.401503057,1.432079511,9.135063562,2.694615988,2.567390934,2.076829714,100.269544,1.801017304,2.184209423,3.108801444,1.921616418,1.213628205,0.158570122,2.904087115,1.624115126,4.964640211,3.965113214,1.997372048,2.890638071,4.125817694,2.552187523,2.22886034,2.176405541,36.41721975,6.143195379,5.613934654,3.853974901,2.754729994,1.407131125,0.958749839,2.859682037,13.52321077,5.418912476,3.097875978
302,1.868039543,2.909025706,1.846554503,0,0.336652041,2.194753269,0.618003706,0,0,0.097787607,1.400314615,3.174009609,2.714463059,4.004791668,4.14768093,1.410256196,2.55858633,3.280758572,1.963444243,1.354827095,2.655600172,0.388320124,1.051994363,1.113047975,1.940577141,0.471572091,3.330884889,0,0.279725915,1.410973751,0.98060002,5.052109739,1.35401315,0.975986747,1.180468288,2.768927578,12.94201707,1.43097261,1.700173243,4.009411753,31.59941178,1.391668017,1.416749004,9.499994238,2.764512468,2.530386596,2.036406847,100.5818827,1.796386179,2.181556013,3.081492529,1.920203397,1.183394578,0.14916463,2.890088595,1.587793293,4.712905065,3.912313733,1.876297121,2.849951489,4.026502843,2.519614743,2.207774948,2.142344622,36.96635112,6.068116132,5.562930183,3.799877943,2.709655256,1.383445246,0.965202506,2.775835569,14.11234158,5.442064205,3.105572901
303,1.728142666,2.876011648,1.800506454,0,0.323191141,2.146862558,0.599555082,0,0,0.084949768,1.265838146,3.164098678,2.677079072,3.974445721,4.09739045,1.391995567,2.519233577,3.266517529,1.916973193,1.35520544,2.521931576,0.404939961,1.074302962,1.120789607,2.033195041,0.496938559,3.277685885,0,0.265822448,1.355491297,0.933419842,4.761201931,1.31657556,0.953757522,1.118306333,2.712384191,12.84881168,1.427074527,1.622359164,4.021626959,32.16086281,1.383206488,1.401619499,9.856782123,2.833673751,2.494134174,1.997568911,100.8951889,1.791759656,2.178845047,3.054849578,1.918557574,1.153712699,0.139881689,2.876139954,1.552114662,4.47244073,3.860363413,1.759566729,2.810018096,3.931509339,2.487621219,2.187135523,2.10880155,37.50215023,5.994816294,5.512895939,3.747626773,2.665618059,1.360022585,0.971396089,2.696052482,14.68828322,5.464812424,3.112674708
304,1.594241769,2.843475385,1.755658502,0,0.309785367,2.100160312,0.581335415,0,0.03350141,0.073677255,1.137374373,3.154061396,2.641245056,3.945307692,4.048015789,1.373795587,2.480470384,3.252262577,1.871542649,1.355628169,2.396626398,0.421451259,1.096224796,1.128879047,2.124142708,0.521607276,3.227478903,0,0.252432891,1.301643716,0.887967066,4.485323467,1.280435822,0.932310569,1.057441409,2.659109453,12.7650591,1.423085345,1.54854534,4.033099393,32.70893728,1.376037592,1.386645689,10.20533642,2.902360151,2.458554834,1.960140307,101.2093675,1.787103557,2.176071209,3.028805889,1.916650458,1.124625007,0.130720784,2.862232045,1.517129012,4.242952875,3.809273094,1.646930376,2.77089847,3.840596722,2.456157591,2.166898728,2.075766673,38.02519359,5.923244164,5.463779717,3.697204581,2.622529063,1.336860158,0.97730279,2.619960328,15.25084747,5.487085384,3.119117157
305,1.466014356,2.811428672,1.712046134,0,0.296410681,2.05467342,0.563316661,0,0.070247121,0.063961793,1.014683893,3.143890952,2.60671846,3.917149869,3.999596157,1.355621926,2.442297649,3.237945425,1.82708762,1.356075863,2.279710957,0.437845461,1.117662975,1.137193796,2.213438018,0.545546884,3.180110335,0,0.239517537,1.249374879,0.844372778,4.224266852,1.245606179,0.91149303,0.997874314,2.609066123,12.69072648,1.418981991,1.47858474,4.04374072,33.24416452,1.370080454,1.371782268,10.54556631,2.97083198,2.423569741,1.92394544,101.5243233,1.782383704,2.173229184,3.003294761,1.914453555,1.096173943,0.121681397,2.848355724,1.482886122,4.024147169,3.759053614,1.538137568,2.732653189,3.753524529,2.425174501,2.147021225,2.043230342,38.53605771,5.853348041,5.415529313,3.648594556,2.580298928,1.313954982,0.98289481,2.547186663,15.7998461,5.508811335,3.124836003
306,1.343137932,2.779883268,1.669704832,0,0.283043048,2.010428774,0.545470776,0,0.108706999,0.055795105,0.897527306,3.133580532,2.573256732,3.889744539,3.952170764,1.337440255,2.404716273,3.223517778,1.783543112,1.356529105,2.171211574,0.454114011,1.138520611,1.145611354,2.301098846,0.568726024,3.135426575,0,0.227036677,1.198628659,0.802768068,3.977824594,1.212098871,0.891152046,0.939605848,2.56221696,12.62578096,1.414741392,1.412330331,4.053462604,33.76707384,1.365254199,1.356983929,10.877381,3.03934955,2.38910006,1.888808711,101.8399613,1.777565918,2.170313655,2.97824949,1.911938372,1.068401945,0.112763012,2.834501845,1.44943577,3.815729284,3.709715815,1.432937809,2.695342833,3.670052296,2.394622591,2.127459676,2.011182903,39.03531911,5.785076223,5.368092522,3.601779885,2.538838315,1.291304073,0.98814435,2.477359039,16.33509087,5.529918529,3.129767003
307,1.225290001,2.748850928,1.628670084,0,0.269658428,1.967453264,0.527769716,0,0.149139184,0.049168917,0.785665211,3.123123323,2.540617322,3.862863988,3.90577882,1.319216241,2.367727155,3.208931344,1.740844131,1.356968477,2.07115457,0.470248351,1.158700818,1.154009223,2.387143067,0.591113336,3.093274014,0,0.214950604,1.149348928,0.763284021,3.7457892,1.179926141,0.87113476,0.882636808,2.518524723,12.57018971,1.410340475,1.349635081,4.062176711,34.27819457,1.36147795,1.342205367,11.20068967,3.108173173,2.355066959,1.854554522,102.1561864,1.772616022,2.167319308,2.953603375,1.909076418,1.041351453,0.103965111,2.820661262,1.416827734,3.617404888,3.661270534,1.331080603,2.659027979,3.589939561,2.364452502,2.108170743,1.979614708,39.52355428,5.718377007,5.321417142,3.556743759,2.498057884,1.268904446,0.993023611,2.410105009,16.85639354,5.550335215,3.133845912
308,1.112148066,2.718343411,1.588977374,0,0.256232785,1.925773779,0.510185438,0,0.191801813,0.044074953,0.678858205,3.112512512,2.508557678,3.836280505,3.860459536,1.300915556,2.331331197,3.194137829,1.698925685,1.357374561,1.979566264,0.486239926,1.178106706,1.162264905,2.471588557,0.612677463,3.053499046,0,0.203219608,1.101479558,0.726051727,3.527953176,1.14910023,0.851288312,0.826967995,2.477952172,12.52391986,1.405756166,1.290351959,4.069794705,34.77805603,1.358670833,1.327401275,11.51540154,3.177563163,2.321391602,1.821007278,102.4729034,1.767499837,2.164240829,2.929289713,1.905839199,1.015064906,0.095287178,2.806824831,1.385111793,3.428879651,3.613728613,1.232315456,2.623769207,3.512945862,2.334614875,2.089111088,1.948516104,40.00133975,5.653198692,5.275450967,3.513469366,2.457868294,1.246753118,0.997504795,2.345052128,17.3635659,5.569989647,3.137008486
309,1.003389632,2.688372472,1.550662187,0,0.24274208,1.885417212,0.492689897,0,0.236953024,0.040504938,0.576866889,3.101741285,2.476835248,3.809766376,3.816252122,1.282503869,2.295529299,3.179088941,1.657722779,1.357727938,1.896472979,0.502080178,1.196641387,1.1702559,2.55445319,0.633387046,3.015948062,0,0.191803982,1.054964421,0.691202274,3.324109028,1.11963338,0.831459845,0.772600207,2.440462066,12.48693858,1.400965392,1.234333933,4.076228251,35.26718755,1.35675197,1.312526347,11.82142578,3.247779831,2.287995155,1.787991379,102.7900173,1.762183185,2.1610729,2.905241802,1.902198223,0.989584744,0.086728696,2.792983405,1.354337725,3.249859244,3.567100891,1.136391872,2.589627093,3.438830737,2.305060353,2.070237374,1.917877439,40.46925203,5.589489575,5.230141794,3.471939895,2.418180206,1.224847104,1.001560101,2.281827948,17.85641971,5.588810073,3.139190483
