wl,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_100,Y_101,Y_102,Y_103,Y_104,Y_105,Y_106,Y_107,Y_108,Y_109,Y_110,Y_111,Y_112,Y_113,Y_114,Y_115,Y_116,Y_117,Y_118,Y_119,Y_120,Y_121,Y_122,Y_123,Y_124,Y_125,Y_126,Y_127,Y_128,Y_129,Y_500,Y_501,Y_502,Y_503,Y_504,Y_505,Y_506,Y_507,Y_508,Y_509,Y_510,Y_511,Y_512,Y_514,Y_515,Y_517,Y_518,Y_519,Y_520,Y_521,Y_522,Y_142,W_525,W_526,W_527,W_528,W_529,W_530,W_531,W_532,W_533,W_534,W_535,W_536,W_537,W_538,W_539,W_540,W_541,W_542,W_543,W_544,W_545,W_546,W_547,W_548,W_27,W_29,W_30,W_32,W_33,W_34,W_130,W_131,W_132,W_133,W_134,W_135,W_136,W_137,W_138,W_139,W_140,W_141,F_27657_A,F_27657_S,F_27653_A,F_27653103_A,F_27653101_A,F_27653102_A,F_27656_A,F_RD20011100_A,F_RD20011_A,F_RD20011_C,F_27631_A,F_27631_S,F_27632_AWHITE,F_27632_A.YELL,F_27634_A,F_27635_K,F_27635_C,F_27635_P,F_27636_A,F_27636_X,F_27633_A,F_27638_A,F_27639_W,F_27639_P,F_27640_A,F_27641_A,F_27642_P,F_27642_Y,F_27644_S,F_27644_A,F_27643_A,F_27645_P,F_27645_R,F_27645_A,F_27648_A,F_27649_P,F_27649_W,F_27650_A,F_27651_A,F_27685_A,F_RD20014_A,F_RD20014_J,F_27658_A,F_27659_K,F_27659_P,F_27659_A,F_27661_A,F_27662_K,F_27663_A,F_27664_A,F_27665_A,F_27666_A,F_27666_I,F_27668_S,F_27669_A,F_27670_S,F_27671_A,F_27672_A,F_27673_A,F_27673_S,F_27674_Y,F_27674_E,F_27674_A,F_27680_A,F_27681_A,F_27682_K,F_27682_P,F_27683_A,F_27683_W,F_27683_Y,F_27688_Z,F_27688_A,F_27688_K,F_27688_P,F_27688_S
300,5.799435908,5.133080401,5.303889277,5.422060026,5.593349648,5.134068775,4.978619517,7.642295272,5.314191469,5.062981245,5.168503086,5.118564907,5.919380689,5.131996833,5.204664368,5.262879089,5.330524086,5.272176558,5.298058587,5.861066781,5.088333287,5.21024314,5.149764393,10.4215278,5.652446456,5.498215666,2.434451321,9.578607865,6.097351353,10.31383692,7.559105498,4.333808974,8.594900313,1.714152154,1.719236933,1.439654221,7.850337157,3.536962312,5.767859356,1.683022836,2.447635645,11.26214514,2.698527534,2.10225811,8.742527053,2.475611153,2.938451642,8.359900796,4.4641381,4.646056769,3.398267643,5.051470264,2.52991521,10.19609884,5.202314949,2.47600008,5.880021227,7.408131585,10.20279069,8.54352094,4.808240898,6.368018263,4.49102915,1.844459866,1.799987668,4.727704113,7.732891062,8.279639591,15.32629543,3.653177738,3.67362659,12.86235928,5.342129562,4.83481463,6.108222019,4.700334004,12.58052089,6.792839701,2.946252544,3.295760639,2.251177849,0.765582703,0.677090472,0.996579595,1.151070582,1.902164993,0.230152952,4.2245133,8.359075073,6.6568856,11.52956585,2.310558647,4.558656345,3.378916799,2.753858976,3.863134384,3.68060294,3.685858429,7.062215315,5.335511578,3.287330912,5.609846727,6.462902435,4.618190928,4.669293249,6.001946958,5.867117981,5.130608242,2.638377378,9.806432133,3.489391019,3.85121381,1.832405167,6.093498145,3.377046942,3.445222694,9.511432679,1.817634251,4.630595734,5.410159353,2.167111224,2.976440176,1.942108952,0,0.363835371,2.293992521,0.655699997,0,0,0.128192364,1.688263243,3.193479676,2.794851151,4.070018168,4.250852507,1.447096725,2.63905691,3.309392107,2.05976784,1.354281227,2.947922331,0.35478906,1.006604418,1.099098129,1.750259141,0.418871338,3.446873393,0,0.309233413,1.527067786,1.079618228,5.679843357,1.432732924,1.023403448,1.308680092,2.891969257,13.15691766,1.438587777,1.868390293,3.983106367,30.43426277,1.412792482,1.447656325,8.762080902,2.623724,2.605226022,2.119013109,99.95826777,1.805687208,2.18681059,3.136843026,1.92282513,1.24437114,0.168098684,2.918144658,1.661030384,5.227940498,4.018751016,2.123042006,2.932017264,4.229694358,2.585388917,2.250435038,2.210993959,35.8541796,6.220105739,5.665961555,3.909934459,2.800931614,1.431083207,0.952065888,2.947964332,12.92107903,5.395428986,3.089648185
301,5.777390019,5.143189422,5.328110157,5.404485818,5.565301717,5.144410944,4.986197136,7.613599264,5.339235019,5.062390266,5.162857117,5.113769882,5.885950694,5.142138093,5.222465033,5.282410521,5.356811948,5.293969999,5.317870546,5.823878551,5.094966696,5.200159899,5.141853372,10.32988909,5.675740647,5.527030916,2.477741013,9.537643587,6.090444096,10.30813846,7.506463859,4.346400366,8.639432151,1.752359254,1.763391973,1.462466245,7.837340504,3.525849287,5.788141925,1.700411167,2.457612869,11.22641585,2.741193131,2.123043782,8.68385618,2.538113402,2.953398251,8.308358856,4.468949257,4.639735033,3.397193731,5.033080237,2.525440262,10.22366155,5.234909405,2.483448768,5.87935724,7.391119712,10.19193852,8.500334567,4.800968014,6.384376514,4.539658213,1.889904863,1.832955877,4.732199913,7.684072693,8.228286262,15.30738958,3.655726792,3.68142826,12.8510448,5.359585405,4.80775492,6.08659708,4.709745947,12.5699617,6.778768179,2.976496096,3.325706575,2.318378268,0.849489762,0.77511079,1.094353918,1.231676709,2.034894021,0.388049441,4.228966596,8.431589593,6.700657437,11.45192507,2.302716876,4.559764736,3.389063198,2.753722509,3.844594349,3.677235864,3.695188818,7.094801131,5.348981544,3.285020187,5.640303476,6.44295612,4.673769618,4.723231943,5.978916887,5.847257608,5.149011539,2.654623386,9.757956618,3.483013814,3.880897749,1.866338644,6.099441169,3.386813294,3.480482844,9.542256322,1.814740956,4.65725492,5.442533406,2.014254897,2.942505801,1.893767164,0,0.350192106,2.243805553,0.636709329,0,0,0.112199047,1.54104318,3.183801005,2.753639568,4.036573246,4.198848019,1.428611805,2.598527741,3.295034001,2.011020794,1.354512551,2.797605863,0.371600305,1.029395886,1.105776649,1.846271133,0.445539231,3.387229523,0,0.294183,1.468147205,1.029376511,5.358254383,1.392736352,0.999151103,1.243926474,2.828776853,13.04470811,1.43480267,1.782134608,3.996542111,31.02405487,1.401503057,1.432079511,9.135063562,2.694615988,2.567390934,2.076829714,100.269544,1.801017304,2.184209423,3.108801444,1.921616418,1.213628205,0.158570122,2.904087115,1.624115126,4.964640211,3.965113214,1.997372048,2.890638071,4.125817694,2.552187523,2.22886034,2.176405541,36.41721975,6.143195379,5.613934654,3.853974901,2.754729994,1.407131125,0.958749839,2.859682037,13.52321077,5.418912476,3.097875978
302,5.755735782,5.153450529,5.352759087,5.38751366,5.538410862,5.154915363,4.993954165,7.584964208,5.36472105,5.062042638,5.157660868,5.109637817,5.853210412,5.15243658,5.239861299,5.301491088,5.383568048,5.31614168,5.338114723,5.787671571,5.101695939,5.190614178,5.134475241,10.23903051,5.698455231,5.555171172,2.52002585,9.497057449,6.083225721,10.30252054,7.454144708,4.358367498,8.682654514,1.789741467,1.806493838,1.484700507,7.823921874,3.514697788,5.807732212,1.717291243,2.467340937,11.19043784,2.782781294,2.143297424,8.62561705,2.599088074,2.967721897,8.257135552,4.473420809,4.63307183,3.395946643,5.014614308,2.520934231,10.25028876,5.266649024,2.490580643,5.878456777,7.374056057,10.18095989,8.457570743,4.793382777,6.399954516,4.587140118,1.934355274,1.86508803,4.736199962,7.635483553,8.177164079,15.28812259,3.657794019,3.688677656,12.83985112,5.376822577,4.78095785,6.065200797,4.718935393,12.55952269,6.764701149,3.006195983,3.354858459,2.384205558,0.931760634,0.871246401,1.190484237,1.311175379,2.165798372,0.544135858,4.232963728,8.503101092,6.743561077,11.37460153,2.294895502,4.560460472,3.398762379,2.753374652,3.826031623,3.673505488,3.703861258,7.126540379,5.362099068,3.282623996,5.670210743,6.423081807,4.729412951,4.777352481,5.956512125,5.827934961,5.167582022,2.670265802,9.709729678,3.476446913,3.909736924,1.89932267,6.105191319,3.395943906,3.514777697,9.572360022,1.811835742,4.683442598,5.474342078,1.868039543,2.909025706,1.846554503,0,0.336652041,2.194753269,0.618003706,0,0,0.097787607,1.400314615,3.174009609,2.714463059,4.004791668,4.14768093,1.410256196,2.55858633,3.280758572,1.963444243,1.354827095,2.655600172,0.388320124,1.051994363,1.113047975,1.940577141,0.471572091,3.330884889,0,0.279725915,1.410973751,0.98060002,5.052109739,1.35401315,0.975986747,1.180468288,2.768927578,12.94201707,1.43097261,1.700173243,4.009411753,31.59941178,1.391668017,1.416749004,9.499994238,2.764512468,2.530386596,2.036406847,100.5818827,1.796386179,2.181556013,3.081492529,1.920203397,1.183394578,0.14916463,2.890088595,1.587793293,4.712905065,3.912313733,1.876297121,2.849951489,4.026502843,2.519614743,2.207774948,2.142344622,36.96635112,6.068116132,5.562930183,3.799877943,2.709655256,1.383445246,0.965202506,2.775835569,14.11234158,5.442064205,3.105572901
303,5.734463614,5.163876569,5.377842242,5.371187035,5.512736467,5.16559216,5.001916396,7.556381806,5.390655947,5.061957551,5.152944052,5.106197666,5.821162627,5.162903041,5.256842962,5.320115377,5.410799123,5.338697085,5.358802056,5.752508358,5.108531102,5.181638425,5.127660919,10.14893629,5.720593227,5.582635712,2.561289746,9.456830854,6.075681989,10.29696495,7.402150763,4.369686249,8.724533617,1.826267185,1.848515907,1.506335241,7.810057677,3.503483265,5.826600176,1.733640831,2.476803625,11.15419528,2.823262836,2.162996012,8.567814549,2.658449341,2.981400952,8.206226571,4.477546444,4.626053122,3.394528706,4.996052804,2.516379597,10.27595265,5.297495364,2.497386319,5.87730573,7.356922323,10.16983134,8.415232902,4.785470393,6.414724732,4.633443342,1.977781271,1.896357451,4.739682152,7.587121035,8.126268594,15.26847503,3.65935792,3.695350335,12.82878667,5.39382165,4.754410604,6.044019339,4.727894347,12.5492126,6.750618946,3.035386162,3.383242163,2.448702503,1.01243532,0.965540555,1.285031005,1.389633145,2.294984199,0.698582997,4.236467158,8.573600987,6.785585196,11.29760563,2.287075347,4.560706028,3.407982997,2.752796246,3.807423455,3.669385736,3.711845241,7.157419161,5.374855064,3.280114357,5.699545579,6.403355693,4.785258804,4.831786762,5.934715753,5.809135202,5.186456271,2.685282822,9.661740734,3.469674396,3.937700842,1.93131765,6.110706376,3.40441062,3.54808373,9.601738176,1.808905862,4.709139409,5.50556242,1.728142666,2.876011648,1.800506454,0,0.323191141,2.146862558,0.599555082,0,0,0.084949768,1.265838146,3.164098678,2.677079072,3.974445721,4.09739045,1.391995567,2.519233577,3.266517529,1.916973193,1.35520544,2.521931576,0.404939961,1.074302962,1.120789607,2.033195041,0.496938559,3.277685885,0,0.265822448,1.355491297,0.933419842,4.761201931,1.31657556,0.953757522,1.118306333,2.712384191,12.84881168,1.427074527,1.622359164,4.021626959,32.16086281,1.383206488,1.401619499,9.856782123,2.833673751,2.494134174,1.997568911,100.8951889,1.791759656,2.178845047,3.054849578,1.918557574,1.153712699,0.139881689,2.876139954,1.552114662,4.47244073,3.860363413,1.759566729,2.810018096,3.931509339,2.487621219,2.187135523,2.10880155,37.50215023,5.994816294,5.512895939,3.747626773,2.665618059,1.360022585,0.971396089,2.696052482,14.68828322,5.464812424,3.112674708
304,5.713563931,5.174480388,5.403365797,5.355549431,5.488337915,5.176451458,5.010109619,7.527843759,5.417046093,5.062154196,5.148736386,5.10347838,5.789810123,5.173548219,5.273399818,5.338277973,5.438511906,5.3616417,5.379943484,5.718451427,5.115482271,5.173265091,5.121441325,10.05959071,5.742157654,5.609423817,2.601516619,9.416945204,6.067798659,10.29145352,7.350484746,4.380332499,8.76503568,1.861904802,1.889431558,1.52734868,7.795724323,3.49218117,5.844715775,1.749437695,2.485984712,11.11767238,2.862608573,2.182116522,8.510453563,2.716111379,2.99441379,8.155627601,4.481319852,4.618664874,3.392942245,4.97737605,2.511758842,10.30062537,5.327409981,2.503856406,5.875889988,7.339700214,10.15852942,8.373324479,4.777216067,6.428659623,4.678536363,2.020153024,1.926737463,4.742624375,7.538982533,8.075595363,15.24842749,3.660396997,3.701421856,12.81785984,5.410563198,4.728100367,6.023038876,4.736614818,12.53904019,6.736501902,3.064100592,3.410883559,2.51191189,1.091553822,1.058036504,1.378054677,1.46711656,2.422557654,0.851561648,4.239439348,8.643080695,6.826718472,11.22094774,2.27923723,4.560463884,3.416693708,2.751968127,3.788747097,3.664850533,3.719110261,7.18742358,5.387240441,3.277463287,5.728285035,6.383853976,4.841445056,4.886666684,5.913510856,5.790843493,5.205770862,2.699652641,9.613979211,3.462680342,3.964759012,1.96228399,6.115944121,3.41218528,3.580377422,9.63038518,1.805938566,4.734325997,5.536171479,1.594241769,2.843475385,1.755658502,0,0.309785367,2.100160312,0.581335415,0,0.03350141,0.073677255,1.137374373,3.154061396,2.641245056,3.945307692,4.048015789,1.373795587,2.480470384,3.252262577,1.871542649,1.355628169,2.396626398,0.421451259,1.096224796,1.128879047,2.124142708,0.521607276,3.227478903,0,0.252432891,1.301643716,0.887967066,4.485323467,1.280435822,0.932310569,1.057441409,2.659109453,12.7650591,1.423085345,1.54854534,4.033099393,32.70893728,1.376037592,1.386645689,10.20533642,2.902360151,2.458554834,1.960140307,101.2093675,1.787103557,2.176071209,3.028805889,1.916650458,1.124625007,0.130720784,2.862232045,1.517129012,4.242952875,3.809273094,1.646930376,2.77089847,3.840596722,2.456157591,2.166898728,2.075766673,38.02519359,5.923244164,5.463779717,3.697204581,2.622529063,1.336860158,0.97730279,2.619960328,15.25084747,5.487085384,3.119117157
305,5.693027152,5.185274834,5.429335927,5.340644333,5.46527459,5.187503383,5.018559627,7.499341769,5.443897871,5.062651762,5.145067584,5.101508913,5.759155685,5.18438286,5.289521664,5.355973463,5.466713131,5.384981011,5.401549946,5.685563294,5.122559531,5.165526626,5.115847378,9.970977992,5.763151534,5.635534767,2.640690383,9.377381902,6.05956149,10.28596805,7.299149375,4.390282126,8.80412692,1.896622713,1.929214169,1.547719061,7.780898222,3.480766952,5.862048967,1.764659601,2.494867974,11.08085332,2.900789316,2.200635927,8.45353898,2.771988359,3.006738784,8.10533433,4.484734722,4.61089305,3.391189588,4.958564372,2.507054447,10.32427909,5.356354433,2.509981518,5.874195445,7.322371436,10.14703066,8.331848906,4.768605005,6.44173165,4.722387655,2.061440704,1.956201387,4.745004524,7.491065439,8.025139938,15.22796056,3.660889754,3.706867778,12.80707905,5.427027794,4.702014324,6.002245578,4.74508881,12.5290142,6.722330354,3.092373229,3.43780852,2.573876506,1.169156142,1.148777499,1.469615707,1.543692179,2.548624889,1.003242604,4.24184276,8.711531633,6.866949581,11.14463827,2.271361975,4.559696515,3.424863167,2.750871136,3.7699798,3.659873804,3.725625812,7.216539739,5.399246111,3.274642805,5.756406164,6.364652853,4.898109584,4.942124145,5.892880518,5.773044994,5.225662374,2.713353458,9.566434531,3.455448832,3.990880944,1.992182095,6.120862335,3.419239731,3.611635252,9.658295432,1.802921109,4.758983004,5.566146306,1.466014356,2.811428672,1.712046134,0,0.296410681,2.05467342,0.563316661,0,0.070247121,0.063961793,1.014683893,3.143890952,2.60671846,3.917149869,3.999596157,1.355621926,2.442297649,3.237945425,1.82708762,1.356075863,2.279710957,0.437845461,1.117662975,1.137193796,2.213438018,0.545546884,3.180110335,0,0.239517537,1.249374879,0.844372778,4.224266852,1.245606179,0.91149303,0.997874314,2.609066123,12.69072648,1.418981991,1.47858474,4.04374072,33.24416452,1.370080454,1.371782268,10.54556631,2.97083198,2.423569741,1.92394544,101.5243233,1.782383704,2.173229184,3.003294761,1.914453555,1.096173943,0.121681397,2.848355724,1.482886122,4.024147169,3.759053614,1.538137568,2.732653189,3.753524529,2.425174501,2.147021225,2.043230342,38.53605771,5.853348041,5.415529313,3.648594556,2.580298928,1.313954982,0.98289481,2.547186663,15.7998461,5.508811335,3.124836003
306,5.672843692,5.196272754,5.455758806,5.326515226,5.443605874,5.198758062,5.02729221,7.470867538,5.471217665,5.063469439,5.141967361,5.100318217,5.729202098,5.19541771,5.305198297,5.373196434,5.495409534,5.408720502,5.423632382,5.653906474,5.129772968,5.158455482,5.110909997,9.883082404,5.783577886,5.660967843,2.678794956,9.338122349,6.05095624,10.28049036,7.248147371,4.399511012,8.841773554,1.93038931,1.967837119,1.567424617,7.765555783,3.469216064,5.878569712,1.779284315,2.503437188,11.04372228,2.937775881,2.218531202,8.397075686,2.825994458,3.018354309,8.055342443,4.487784742,4.602723614,3.389273059,4.939598098,2.502248894,10.34688598,5.384290277,2.515752268,5.872207991,7.304917692,10.13531161,8.290809619,4.759622413,6.453913277,4.764965696,2.101614482,1.984722547,4.746800489,7.443367147,7.974897873,15.20705481,3.660814691,3.711663657,12.7964527,5.443196011,4.676139661,5.981625615,4.75330833,12.51914337,6.708084635,3.120238031,3.464042919,2.634639136,1.245282282,1.237806791,1.559774549,1.619426553,2.673292057,1.153796657,4.243639856,8.778945217,6.906267199,11.0686876,2.2634304,4.558366401,3.43246003,2.749486112,3.751098813,3.654429471,3.731361385,7.24475374,5.410862986,3.271624927,5.783886016,6.345828523,4.955390265,4.998291045,5.87280782,5.755724866,5.246267383,2.726363467,9.519096117,3.447963947,4.016036143,2.020972369,6.125418798,3.425545816,3.641833697,9.685463327,1.79984074,4.783091073,5.595463948,1.343137932,2.779883268,1.669704832,0,0.283043048,2.010428774,0.545470776,0,0.108706999,0.055795105,0.897527306,3.133580532,2.573256732,3.889744539,3.952170764,1.337440255,2.404716273,3.223517778,1.783543112,1.356529105,2.171211574,0.454114011,1.138520611,1.145611354,2.301098846,0.568726024,3.135426575,0,0.227036677,1.198628659,0.802768068,3.977824594,1.212098871,0.891152046,0.939605848,2.56221696,12.62578096,1.414741392,1.412330331,4.053462604,33.76707384,1.365254199,1.356983929,10.877381,3.03934955,2.38910006,1.888808711,101.8399613,1.777565918,2.170313655,2.97824949,1.911938372,1.068401945,0.112763012,2.834501845,1.44943577,3.815729284,3.709715815,1.432937809,2.695342833,3.670052296,2.394622591,2.127459676,2.011182903,39.03531911,5.785076223,5.368092522,3.601779885,2.538838315,1.291304073,0.98814435,2.477359039,16.33509087,5.529918529,3.129767003
307,5.653003969,5.207486996,5.48264061,5.313205597,5.423391152,5.210225618,5.03633316,7.442412767,5.499011857,5.064626417,5.139465432,5.099935246,5.699952145,5.206663513,5.320419513,5.38994147,5.524607848,5.432865661,5.446201729,5.623543484,5.137132668,5.152084109,5.106660099,9.795888192,5.803439731,5.685722325,2.715814254,9.299147948,6.041968669,10.27500227,7.197481454,4.407995034,8.8779418,1.963172988,2.005273787,1.586443582,7.749673416,3.457503955,5.894247968,1.793289602,2.511676132,11.00626348,2.973539082,2.235779324,8.341068567,2.878043848,3.029238736,8.00564763,4.490463603,4.594142531,3.387194984,4.920457552,2.497324663,10.36841818,5.411179069,2.521159266,5.869913517,7.287320686,10.1233488,8.250210051,4.750253495,6.465176964,4.806238962,2.14064453,2.012274265,4.747990165,7.395885049,7.924864722,15.18569085,3.660150311,3.715785053,12.78598922,5.459048423,4.650463562,5.961165158,4.761265385,12.50943646,6.693745079,3.147728956,3.489612627,2.694242568,1.319972243,1.32516763,1.648591657,1.694386237,2.79666531,1.303394599,4.244793097,8.845312865,6.944660003,10.99310613,2.255423328,4.556436017,3.43945295,2.747793892,3.732081387,3.64849146,3.736286475,7.272051687,5.422081976,3.268381671,5.810701643,6.327457182,5.013424976,5.055299283,5.853275848,5.738868271,5.267722469,2.738660865,9.471953392,3.440209766,4.040194121,2.048615218,6.129571291,3.431075379,3.670949236,9.711883262,1.796684714,4.806630846,5.624101457,1.225290001,2.748850928,1.628670084,0,0.269658428,1.967453264,0.527769716,0,0.149139184,0.049168917,0.785665211,3.123123323,2.540617322,3.862863988,3.90577882,1.319216241,2.367727155,3.208931344,1.740844131,1.356968477,2.07115457,0.470248351,1.158700818,1.154009223,2.387143067,0.591113336,3.093274014,0,0.214950604,1.149348928,0.763284021,3.7457892,1.179926141,0.87113476,0.882636808,2.518524723,12.57018971,1.410340475,1.349635081,4.062176711,34.27819457,1.36147795,1.342205367,11.20068967,3.108173173,2.355066959,1.854554522,102.1561864,1.772616022,2.167319308,2.953603375,1.909076418,1.041351453,0.103965111,2.820661262,1.416827734,3.617404888,3.661270534,1.331080603,2.659027979,3.589939561,2.364452502,2.108170743,1.979614708,39.52355428,5.718377007,5.321417142,3.556743759,2.498057884,1.268904446,0.993023611,2.410105009,16.85639354,5.550335215,3.133845912
308,5.6334984,5.218930406,5.509987512,5.300758931,5.404689806,5.221916178,5.045708268,7.413969159,5.527286832,5.066141887,5.137591511,5.100388953,5.671408611,5.218131014,5.335175109,5.406203159,5.554314809,5.457421972,5.469268928,5.594536839,5.144648716,5.146444956,5.103128605,9.709379606,5.822740089,5.709797493,2.751732192,9.2604401,6.032584536,10.26948557,7.147154342,4.415710072,8.912597877,1.99494214,2.041497551,1.604754192,7.733227531,3.445606077,5.909053693,1.806653226,2.519568581,10.96846108,3.008049732,2.252357266,8.285522511,2.928050703,3.03937044,7.956245578,4.492764993,4.585135764,3.384957691,4.901123062,2.492264236,10.38884787,5.436982367,2.526193126,5.867297916,7.269562123,10.11111877,8.210053636,4.740483459,6.475495174,4.84617593,2.178501018,2.038829865,4.748551443,7.348616539,7.875036038,15.16384925,3.658875117,3.719207523,12.775697,5.474565603,4.624973212,5.940850376,4.76895198,12.49990221,6.679292021,3.17487996,3.514543517,2.752729587,1.393266029,1.410903269,1.736127484,1.768637785,2.918850799,1.452207222,4.245264945,8.910625992,6.982116669,10.91790426,2.247321579,4.553867841,3.445810585,2.745775316,3.712904773,3.642033694,3.740370575,7.298419681,5.432893993,3.264885054,5.836830096,6.30961503,5.072351595,5.113280756,5.834267684,5.72246037,5.290164208,2.75022385,9.42499578,3.43217037,4.063324383,2.075071046,6.133277595,3.435800264,3.698958347,9.737549632,1.793440281,4.829582968,5.65203588,1.112148066,2.718343411,1.588977374,0,0.256232785,1.925773779,0.510185438,0,0.191801813,0.044074953,0.678858205,3.112512512,2.508557678,3.836280505,3.860459536,1.300915556,2.331331197,3.194137829,1.698925685,1.357374561,1.979566264,0.486239926,1.178106706,1.162264905,2.471588557,0.612677463,3.053499046,0,0.203219608,1.101479558,0.726051727,3.527953176,1.14910023,0.851288312,0.826967995,2.477952172,12.52391986,1.405756166,1.290351959,4.069794705,34.77805603,1.358670833,1.327401275,11.51540154,3.177563163,2.321391602,1.821007278,102.4729034,1.767499837,2.164240829,2.929289713,1.905839199,1.015064906,0.095287178,2.806824831,1.385111793,3.428879651,3.613728613,1.232315456,2.623769207,3.512945862,2.334614875,2.089111088,1.948516104,40.00133975,5.653198692,5.275450967,3.513469366,2.457868294,1.246753118,0.997504795,2.345052128,17.3635659,5.569989647,3.137008486
309,5.614317402,5.230615832,5.537805689,5.289218714,5.38756122,5.233839868,5.055443325,7.385528413,5.556048973,5.068035037,5.136375314,5.101708289,5.643574281,5.229830959,5.349454882,5.421976086,5.584537151,5.482394921,5.492844916,5.566949055,5.152331198,5.141570475,5.100346432,9.623540898,5.841481979,5.733192626,2.786532687,9.221980209,6.022789599,10.26392209,7.097168757,4.422632006,8.945708,2.02566516,2.07648179,1.62233468,7.716194538,3.433497879,5.922956845,1.819352955,2.527098314,10.93029928,3.041278645,2.268242004,8.230442403,2.975929197,3.048727795,7.907131974,4.494682602,4.575689278,3.382563505,4.881574953,2.487050094,10.40814721,5.461661729,2.53084446,5.864347078,7.251623707,10.09859808,8.170343809,4.730297508,6.484840368,4.884745076,2.215154116,2.064362668,4.748462215,7.30155901,7.825407375,15.14151059,3.65696761,3.721906625,12.76558446,5.489728124,4.599655796,5.920667439,4.776360122,12.49054937,6.664705794,3.201725001,3.538861462,2.810142979,1.465203641,1.495056959,1.822442484,1.842247748,3.039954679,1.600405317,4.245017862,8.974876017,7.018625875,10.84309237,2.239105974,4.550624351,3.451501588,2.743411223,3.693546221,3.635030099,3.743583177,7.323843826,5.443289948,3.261107095,5.862248427,6.292378263,5.132307998,5.172367363,5.815766413,5.706486323,5.313729178,2.761030616,9.378212702,3.423829839,4.08539644,2.10030026,6.136495491,3.439692315,3.725837509,9.762456836,1.790094694,4.851928079,5.679244267,1.003389632,2.688372472,1.550662187,0,0.24274208,1.885417212,0.492689897,0,0.236953024,0.040504938,0.576866889,3.101741285,2.476835248,3.809766376,3.816252122,1.282503869,2.295529299,3.179088941,1.657722779,1.357727938,1.896472979,0.502080178,1.196641387,1.1702559,2.55445319,0.633387046,3.015948062,0,0.191803982,1.054964421,0.691202274,3.324109028,1.11963338,0.831459845,0.772600207,2.440462066,12.48693858,1.400965392,1.234333933,4.076228251,35.26718755,1.35675197,1.312526347,11.82142578,3.247779831,2.287995155,1.787991379,102.7900173,1.762183185,2.1610729,2.905241802,1.902198223,0.989584744,0.086728696,2.792983405,1.354337725,3.249859244,3.567100891,1.136391872,2.589627093,3.438830737,2.305060353,2.070237374,1.917877439,40.46925203,5.589489575,5.230141794,3.471939895,2.418180206,1.224847104,1.001560101,2.281827948,17.85641971,5.588810073,3.139190483
