wl,W_525,W_526,W_527,W_528,W_529,W_530,W_531,W_532,W_533,W_534,W_535,W_536,W_537,W_538,W_539,W_540,W_541,W_542,W_543,W_544,W_545,W_546,W_547,W_548,W_27,W_29,W_30,W_32,W_33,W_34,W_130,W_131,W_132,W_133,W_134,W_135,W_136,W_137,W_138,W_139,W_140,W_141
300,2.946252544,3.295760639,2.251177849,0.765582703,0.677090472,0.996579595,1.151070582,1.902164993,0.230152952,4.2245133,8.359075073,6.6568856,11.52956585,2.310558647,4.558656345,3.378916799,2.753858976,3.863134384,3.68060294,3.685858429,7.062215315,5.335511578,3.287330912,5.609846727,6.462902435,4.618190928,4.669293249,6.001946958,5.867117981,5.130608242,2.638377378,9.806432133,3.489391019,3.85121381,1.832405167,6.093498145,3.377046942,3.445222694,9.511432679,1.817634251,4.630595734,5.410159353
301,2.976496096,3.325706575,2.318378268,0.849489762,0.77511079,1.094353918,1.231676709,2.034894021,0.388049441,4.228966596,8.431589593,6.700657437,11.45192507,2.302716876,4.559764736,3.389063198,2.753722509,3.844594349,3.677235864,3.695188818,7.094801131,5.348981544,3.285020187,5.640303476,6.44295612,4.673769618,4.723231943,5.978916887,5.847257608,5.149011539,2.654623386,9.757956618,3.483013814,3.880897749,1.866338644,6.099441169,3.386813294,3.480482844,9.542256322,1.814740956,4.65725492,5.442533406
302,3.006195983,3.354858459,2.384205558,0.931760634,0.871246401,1.190484237,1.311175379,2.165798372,0.544135858,4.232963728,8.503101092,6.743561077,11.37460153,2.294895502,4.560460472,3.398762379,2.753374652,3.826031623,3.673505488,3.703861258,7.126540379,5.362099068,3.282623996,5.670210743,6.423081807,4.729412951,4.777352481,5.956512125,5.827934961,5.167582022,2.670265802,9.709729678,3.476446913,3.909736924,1.89932267,6.105191319,3.395943906,3.514777697,9.572360022,1.811835742,4.683442598,5.474342078
303,3.035386162,3.383242163,2.448702503,1.01243532,0.965540555,1.285031005,1.389633145,2.294984199,0.698582997,4.236467158,8.573600987,6.785585196,11.29760563,2.287075347,4.560706028,3.407982997,2.752796246,3.807423455,3.669385736,3.711845241,7.157419161,5.374855064,3.280114357,5.699545579,6.403355693,4.785258804,4.831786762,5.934715753,5.809135202,5.186456271,2.685282822,9.661740734,3.469674396,3.937700842,1.93131765,6.110706376,3.40441062,3.54808373,9.601738176,1.808905862,4.709139409,5.50556242
304,3.064100592,3.410883559,2.51191189,1.091553822,1.058036504,1.378054677,1.46711656,2.422557654,0.851561648,4.239439348,8.643080695,6.826718472,11.22094774,2.27923723,4.560463884,3.416693708,2.751968127,3.788747097,3.664850533,3.719110261,7.18742358,5.387240441,3.277463287,5.728285035,6.383853976,4.841445056,4.886666684,5.913510856,5.790843493,5.205770862,2.699652641,9.613979211,3.462680342,3.964759012,1.96228399,6.115944121,3.41218528,3.580377422,9.63038518,1.805938566,4.734325997,5.536171479
305,3.092373229,3.43780852,2.573876506,1.169156142,1.148777499,1.469615707,1.543692179,2.548624889,1.003242604,4.24184276,8.711531633,6.866949581,11.14463827,2.271361975,4.559696515,3.424863167,2.750871136,3.7699798,3.659873804,3.725625812,7.216539739,5.399246111,3.274642805,5.756406164,6.364652853,4.898109584,4.942124145,5.892880518,5.773044994,5.225662374,2.713353458,9.566434531,3.455448832,3.990880944,1.992182095,6.120862335,3.419239731,3.611635252,9.658295432,1.802921109,4.758983004,5.566146306
306,3.120238031,3.464042919,2.634639136,1.245282282,1.237806791,1.559774549,1.619426553,2.673292057,1.153796657,4.243639856,8.778945217,6.906267199,11.0686876,2.2634304,4.558366401,3.43246003,2.749486112,3.751098813,3.654429471,3.731361385,7.24475374,5.410862986,3.271624927,5.783886016,6.345828523,4.955390265,4.998291045,5.87280782,5.755724866,5.246267383,2.726363467,9.519096117,3.447963947,4.016036143,2.020972369,6.125418798,3.425545816,3.641833697,9.685463327,1.79984074,4.783091073,5.595463948
307,3.147728956,3.489612627,2.694242568,1.319972243,1.32516763,1.648591657,1.694386237,2.79666531,1.303394599,4.244793097,8.845312865,6.944660003,10.99310613,2.255423328,4.556436017,3.43945295,2.747793892,3.732081387,3.64849146,3.736286475,7.272051687,5.422081976,3.268381671,5.810701643,6.327457182,5.013424976,5.055299283,5.853275848,5.738868271,5.267722469,2.738660865,9.471953392,3.440209766,4.040194121,2.048615218,6.129571291,3.431075379,3.670949236,9.711883262,1.796684714,4.806630846,5.624101457
308,3.17487996,3.514543517,2.752729587,1.393266029,1.410903269,1.736127484,1.768637785,2.918850799,1.452207222,4.245264945,8.910625992,6.982116669,10.91790426,2.247321579,4.553867841,3.445810585,2.745775316,3.712904773,3.642033694,3.740370575,7.298419681,5.432893993,3.264885054,5.836830096,6.30961503,5.072351595,5.113280756,5.834267684,5.72246037,5.290164208,2.75022385,9.42499578,3.43217037,4.063324383,2.075071046,6.133277595,3.435800264,3.698958347,9.737549632,1.793440281,4.829582968,5.65203588
309,3.201725001,3.538861462,2.810142979,1.465203641,1.495056959,1.822442484,1.842247748,3.039954679,1.600405317,4.245017862,8.974876017,7.018625875,10.84309237,2.239105974,4.550624351,3.451501588,2.743411223,3.693546221,3.635030099,3.743583177,7.323843826,5.443289948,3.261107095,5.862248427,6.292378263,5.132307998,5.172367363,5.815766413,5.706486323,5.313729178,2.761030616,9.378212702,3.423829839,4.08539644,2.10030026,6.136495491,3.439692315,3.725837509,9.762456836,1.790094694,4.851928079,5.679244267
