wl,Y_1,Y_2,Y_3,Y_4,Y_5,Y_6,Y_7,Y_8,Y_9,Y_10,Y_11,Y_12,Y_13,Y_14,Y_15,Y_16,Y_17,Y_18,Y_19,Y_20,Y_21,Y_22,Y_23,Y_24,Y_25,Y_26,Y_100,Y_101,Y_102,Y_103,Y_104,Y_105,Y_106,Y_107,Y_108,Y_109,Y_110,Y_111,Y_112,Y_113,Y_114,Y_115,Y_116,Y_117,Y_118,Y_119,Y_120,Y_121,Y_122,Y_123,Y_124,Y_125,Y_126,Y_127,Y_128,Y_129,Y_500,Y_501,Y_502,Y_503,Y_504,Y_505,Y_506,Y_507,Y_508,Y_509,Y_510,Y_511,Y_512,Y_514,Y_515,Y_517,Y_518,Y_519,Y_520,Y_521,Y_522,Y_142
300,5.799435908,5.133080401,5.303889277,5.422060026,5.593349648,5.134068775,4.978619517,7.642295272,5.314191469,5.062981245,5.168503086,5.118564907,5.919380689,5.131996833,5.204664368,5.262879089,5.330524086,5.272176558,5.298058587,5.861066781,5.088333287,5.21024314,5.149764393,10.4215278,5.652446456,5.498215666,2.434451321,9.578607865,6.097351353,10.31383692,7.559105498,4.333808974,8.594900313,1.714152154,1.719236933,1.439654221,7.850337157,3.536962312,5.767859356,1.683022836,2.447635645,11.26214514,2.698527534,2.10225811,8.742527053,2.475611153,2.938451642,8.359900796,4.4641381,4.646056769,3.398267643,5.051470264,2.52991521,10.19609884,5.202314949,2.47600008,5.880021227,7.408131585,10.20279069,8.54352094,4.808240898,6.368018263,4.49102915,1.844459866,1.799987668,4.727704113,7.732891062,8.279639591,15.32629543,3.653177738,3.67362659,12.86235928,5.342129562,4.83481463,6.108222019,4.700334004,12.58052089,6.792839701
301,5.777390019,5.143189422,5.328110157,5.404485818,5.565301717,5.144410944,4.986197136,7.613599264,5.339235019,5.062390266,5.162857117,5.113769882,5.885950694,5.142138093,5.222465033,5.282410521,5.356811948,5.293969999,5.317870546,5.823878551,5.094966696,5.200159899,5.141853372,10.32988909,5.675740647,5.527030916,2.477741013,9.537643587,6.090444096,10.30813846,7.506463859,4.346400366,8.639432151,1.752359254,1.763391973,1.462466245,7.837340504,3.525849287,5.788141925,1.700411167,2.457612869,11.22641585,2.741193131,2.123043782,8.68385618,2.538113402,2.953398251,8.308358856,4.468949257,4.639735033,3.397193731,5.033080237,2.525440262,10.22366155,5.234909405,2.483448768,5.87935724,7.391119712,10.19193852,8.500334567,4.800968014,6.384376514,4.539658213,1.889904863,1.832955877,4.732199913,7.684072693,8.228286262,15.30738958,3.655726792,3.68142826,12.8510448,5.359585405,4.80775492,6.08659708,4.709745947,12.5699617,6.778768179
302,5.755735782,5.153450529,5.352759087,5.38751366,5.538410862,5.154915363,4.993954165,7.584964208,5.36472105,5.062042638,5.157660868,5.109637817,5.853210412,5.15243658,5.239861299,5.301491088,5.383568048,5.31614168,5.338114723,5.787671571,5.101695939,5.190614178,5.134475241,10.23903051,5.698455231,5.555171172,2.52002585,9.497057449,6.083225721,10.30252054,7.454144708,4.358367498,8.682654514,1.789741467,1.806493838,1.484700507,7.823921874,3.514697788,5.807732212,1.717291243,2.467340937,11.19043784,2.782781294,2.143297424,8.62561705,2.599088074,2.967721897,8.257135552,4.473420809,4.63307183,3.395946643,5.014614308,2.520934231,10.25028876,5.266649024,2.490580643,5.878456777,7.374056057,10.18095989,8.457570743,4.793382777,6.399954516,4.587140118,1.934355274,1.86508803,4.736199962,7.635483553,8.177164079,15.28812259,3.657794019,3.688677656,12.83985112,5.376822577,4.78095785,6.065200797,4.718935393,12.55952269,6.764701149
303,5.734463614,5.163876569,5.377842242,5.371187035,5.512736467,5.16559216,5.001916396,7.556381806,5.390655947,5.061957551,5.152944052,5.106197666,5.821162627,5.162903041,5.256842962,5.320115377,5.410799123,5.338697085,5.358802056,5.752508358,5.108531102,5.181638425,5.127660919,10.14893629,5.720593227,5.582635712,2.561289746,9.456830854,6.075681989,10.29696495,7.402150763,4.369686249,8.724533617,1.826267185,1.848515907,1.506335241,7.810057677,3.503483265,5.826600176,1.733640831,2.476803625,11.15419528,2.823262836,2.162996012,8.567814549,2.658449341,2.981400952,8.206226571,4.477546444,4.626053122,3.394528706,4.996052804,2.516379597,10.27595265,5.297495364,2.497386319,5.87730573,7.356922323,10.16983134,8.415232902,4.785470393,6.414724732,4.633443342,1.977781271,1.896357451,4.739682152,7.587121035,8.126268594,15.26847503,3.65935792,3.695350335,12.82878667,5.39382165,4.754410604,6.044019339,4.727894347,12.5492126,6.750618946
304,5.713563931,5.174480388,5.403365797,5.355549431,5.488337915,5.176451458,5.010109619,7.527843759,5.417046093,5.062154196,5.148736386,5.10347838,5.789810123,5.173548219,5.273399818,5.338277973,5.438511906,5.3616417,5.379943484,5.718451427,5.115482271,5.173265091,5.121441325,10.05959071,5.742157654,5.609423817,2.601516619,9.416945204,6.067798659,10.29145352,7.350484746,4.380332499,8.76503568,1.861904802,1.889431558,1.52734868,7.795724323,3.49218117,5.844715775,1.749437695,2.485984712,11.11767238,2.862608573,2.182116522,8.510453563,2.716111379,2.99441379,8.155627601,4.481319852,4.618664874,3.392942245,4.97737605,2.511758842,10.30062537,5.327409981,2.503856406,5.875889988,7.339700214,10.15852942,8.373324479,4.777216067,6.428659623,4.678536363,2.020153024,1.926737463,4.742624375,7.538982533,8.075595363,15.24842749,3.660396997,3.701421856,12.81785984,5.410563198,4.728100367,6.023038876,4.736614818,12.53904019,6.736501902
305,5.693027152,5.185274834,5.429335927,5.340644333,5.46527459,5.187503383,5.018559627,7.499341769,5.443897871,5.062651762,5.145067584,5.101508913,5.759155685,5.18438286,5.289521664,5.355973463,5.466713131,5.384981011,5.401549946,5.685563294,5.122559531,5.165526626,5.115847378,9.970977992,5.763151534,5.635534767,2.640690383,9.377381902,6.05956149,10.28596805,7.299149375,4.390282126,8.80412692,1.896622713,1.929214169,1.547719061,7.780898222,3.480766952,5.862048967,1.764659601,2.494867974,11.08085332,2.900789316,2.200635927,8.45353898,2.771988359,3.006738784,8.10533433,4.484734722,4.61089305,3.391189588,4.958564372,2.507054447,10.32427909,5.356354433,2.509981518,5.874195445,7.322371436,10.14703066,8.331848906,4.768605005,6.44173165,4.722387655,2.061440704,1.956201387,4.745004524,7.491065439,8.025139938,15.22796056,3.660889754,3.706867778,12.80707905,5.427027794,4.702014324,6.002245578,4.74508881,12.5290142,6.722330354
306,5.672843692,5.196272754,5.455758806,5.326515226,5.443605874,5.198758062,5.02729221,7.470867538,5.471217665,5.063469439,5.141967361,5.100318217,5.729202098,5.19541771,5.305198297,5.373196434,5.495409534,5.408720502,5.423632382,5.653906474,5.129772968,5.158455482,5.110909997,9.883082404,5.783577886,5.660967843,2.678794956,9.338122349,6.05095624,10.28049036,7.248147371,4.399511012,8.841773554,1.93038931,1.967837119,1.567424617,7.765555783,3.469216064,5.878569712,1.779284315,2.503437188,11.04372228,2.937775881,2.218531202,8.397075686,2.825994458,3.018354309,8.055342443,4.487784742,4.602723614,3.389273059,4.939598098,2.502248894,10.34688598,5.384290277,2.515752268,5.872207991,7.304917692,10.13531161,8.290809619,4.759622413,6.453913277,4.764965696,2.101614482,1.984722547,4.746800489,7.443367147,7.974897873,15.20705481,3.660814691,3.711663657,12.7964527,5.443196011,4.676139661,5.981625615,4.75330833,12.51914337,6.708084635
307,5.653003969,5.207486996,5.48264061,5.313205597,5.423391152,5.210225618,5.03633316,7.442412767,5.499011857,5.064626417,5.139465432,5.099935246,5.699952145,5.206663513,5.320419513,5.38994147,5.524607848,5.432865661,5.446201729,5.623543484,5.137132668,5.152084109,5.106660099,9.795888192,5.803439731,5.685722325,2.715814254,9.299147948,6.041968669,10.27500227,7.197481454,4.407995034,8.8779418,1.963172988,2.005273787,1.586443582,7.749673416,3.457503955,5.894247968,1.793289602,2.511676132,11.00626348,2.973539082,2.235779324,8.341068567,2.878043848,3.029238736,8.00564763,4.490463603,4.594142531,3.387194984,4.920457552,2.497324663,10.36841818,5.411179069,2.521159266,5.869913517,7.287320686,10.1233488,8.250210051,4.750253495,6.465176964,4.806238962,2.14064453,2.012274265,4.747990165,7.395885049,7.924864722,15.18569085,3.660150311,3.715785053,12.78598922,5.459048423,4.650463562,5.961165158,4.761265385,12.50943646,6.693745079
308,5.6334984,5.218930406,5.509987512,5.300758931,5.404689806,5.221916178,5.045708268,7.413969159,5.527286832,5.066141887,5.137591511,5.100388953,5.671408611,5.218131014,5.335175109,5.406203159,5.554314809,5.457421972,5.469268928,5.594536839,5.144648716,5.146444956,5.103128605,9.709379606,5.822740089,5.709797493,2.751732192,9.2604401,6.032584536,10.26948557,7.147154342,4.415710072,8.912597877,1.99494214,2.041497551,1.604754192,7.733227531,3.445606077,5.909053693,1.806653226,2.519568581,10.96846108,3.008049732,2.252357266,8.285522511,2.928050703,3.03937044,7.956245578,4.492764993,4.585135764,3.384957691,4.901123062,2.492264236,10.38884787,5.436982367,2.526193126,5.867297916,7.269562123,10.11111877,8.210053636,4.740483459,6.475495174,4.84617593,2.178501018,2.038829865,4.748551443,7.348616539,7.875036038,15.16384925,3.658875117,3.719207523,12.775697,5.474565603,4.624973212,5.940850376,4.76895198,12.49990221,6.679292021
309,5.614317402,5.230615832,5.537805689,5.289218714,5.38756122,5.233839868,5.055443325,7.385528413,5.556048973,5.068035037,5.136375314,5.101708289,5.643574281,5.229830959,5.349454882,5.421976086,5.584537151,5.482394921,5.492844916,5.566949055,5.152331198,5.141570475,5.100346432,9.623540898,5.841481979,5.733192626,2.786532687,9.221980209,6.022789599,10.26392209,7.097168757,4.422632006,8.945708,2.02566516,2.07648179,1.62233468,7.716194538,3.433497879,5.922956845,1.819352955,2.527098314,10.93029928,3.041278645,2.268242004,8.230442403,2.975929197,3.048727795,7.907131974,4.494682602,4.575689278,3.382563505,4.881574953,2.487050094,10.40814721,5.461661729,2.53084446,5.864347078,7.251623707,10.09859808,8.170343809,4.730297508,6.484840368,4.884745076,2.215154116,2.064362668,4.748462215,7.30155901,7.825407375,15.14151059,3.65696761,3.721906625,12.76558446,5.489728124,4.599655796,5.920667439,4.776360122,12.49054937,6.664705794
