wl,F001,F003,F006,F008,F009,F013,F017,F021,F023,F024,F028,F030,F032,F036,F039,F042,F044,F045,F047,F049,F052,F053,F054,F058,F059,F063,F064,M004,M005,M011,M012,M014,M015,M016,M018,M019,M020,M022,M025,M026,M029,M031,M033,M034,M037,M038,M040,M041,M043,M046,M050,M055,M056,M057,M060,M061,M062
300,8.950119557,12.19779096,24.92417209,10.31096107,14.18416056,12.19779096,16.54821148,14.14406641,20.63483277,14.66710336,8.674645394,15.9205018,11.97040851,6.85892384,4.624560347,6.97781785,7.486931121,5.824541107,9.671908652,13.31788178,4.8473492,21.80879198,10.36571137,10.10934959,6.661439836,10.38081202,5.631649172,19.96949353,12.56515941,10.56343836,13.38733769,11.33926894,13.19725828,21.84547914,14.08331967,13.83327591,21.33061877,18.90752057,9.751796766,6.884822572,9.513352392,11.51228252,18.4360969,12.65626745,10.91978597,8.338025632,14.10498299,14.24738713,6.977450926,13.44343884,11.52750764,13.88114389,6.906052776,8.741318675,6.650087447,10.82572065,11.12902775
301,9.06809902,12.34285532,24.94072834,10.43263839,14.3033796,12.34285532,16.61864229,14.25243005,20.81269364,14.87648255,8.8524838,16.12345836,12.25251128,6.975419339,4.774131212,7.167412772,7.608165401,5.906203415,9.854337207,13.43889176,4.953203246,22.02545995,10.47382997,10.18424689,6.772262306,10.531668,5.728221093,20.22516025,12.84435562,10.84197755,13.69375089,11.42999737,13.30729069,21.91984346,14.11447541,14.03983831,21.54918465,19.05319254,9.891828409,6.927112662,9.767339885,11.73672566,18.3909326,12.61640735,10.99503108,8.345743462,14.23205588,14.38674086,7.068152529,13.56953801,11.79028268,13.95691699,7.025367206,8.81740115,6.698072976,11.00268018,11.32745864
302,9.181312232,12.4828395,24.9534948,10.54930904,14.41824347,12.4828395,16.68472702,14.35566335,20.98340113,15.07825053,9.024120042,16.31903507,12.52610435,7.087752071,4.918843584,7.350792659,7.725067417,5.984971121,10.03084231,13.55517447,5.054966551,22.23431861,10.57765071,10.25587318,6.878937969,10.67713453,5.821048006,20.47202672,13.11499122,11.11232352,13.98989448,11.517093,13.41314355,21.98983113,14.14255496,14.23888375,21.75906796,19.19284871,10.0263728,6.967077658,10.01336952,11.95374699,18.3439355,12.57465892,11.06597148,8.351431064,14.35445697,14.52079645,7.15538162,13.69074971,12.04521926,14.02842547,7.140295018,8.890290946,6.743877702,11.1735444,11.51927531
303,9.289597223,12.61760835,24.96230598,10.66080656,14.52862097,12.61760835,16.74632731,14.45361963,21.14674053,15.27219767,9.189375404,16.50701287,12.79095614,7.195804852,5.05856586,7.527772433,7.837517731,6.060754672,10.20128875,13.66659367,5.15248754,22.43515053,10.67704942,10.32411217,6.981352829,10.81706886,5.910025917,20.70983624,13.3768422,11.37425431,14.27547631,11.60046095,13.51472111,22.05529227,14.16745521,14.43020248,21.95999699,19.32628867,10.15524041,7.004632875,10.25122465,12.16313218,18.29495853,12.53088271,11.13243418,8.35499719,14.47205351,14.64942123,7.239033969,13.80692419,12.29210319,14.09553312,7.25070847,8.959887897,6.787444096,11.33813679,11.70427764
304,9.392792024,12.74702672,24.96699639,10.76696448,14.63438088,12.74702672,16.80330483,14.54615223,21.30249714,15.45811433,9.34807117,16.6871727,13.04683504,7.299460504,5.193166437,7.698167021,7.945396904,6.133464513,10.36554131,13.77301313,5.245614637,22.6277383,10.77190195,10.38884758,7.079392891,10.95132822,5.995050834,20.93833217,13.62968456,11.62754795,14.55020421,11.68000637,13.61192765,22.11607699,14.18907299,14.61358474,22.15170004,19.45331199,10.27824172,7.03969363,10.48068865,12.36466692,18.24385461,12.48493923,11.19424621,8.35635059,14.58471274,14.77248254,7.319005345,13.9179117,12.5307203,14.1581037,7.356479819,9.026091836,6.828714626,11.49628085,11.88226549
305,9.490734666,12.87095946,24.96740054,10.8676163,14.73539199,12.87095946,16.85552122,14.63311448,21.45045627,15.63579089,9.500028621,16.85929547,13.29350946,7.398601845,5.322513712,7.861791346,8.048585497,6.203011091,10.52346477,13.87429662,5.334196269,22.81186447,10.86208416,10.44996314,7.172944162,11.07976985,6.076018763,21.15725784,13.87329429,11.87198246,14.81378604,11.7556344,13.70466744,22.17203537,14.20730518,14.7888208,22.33390541,19.57371825,10.39518719,7.072175238,10.70154488,12.5581369,18.19047663,12.43668903,11.25123459,8.355400015,14.69230191,14.88984772,7.395191517,14.02356249,12.76085641,14.21600097,7.457481323,9.088802594,6.867631763,11.64780005,12.05303873
306,9.583263179,12.98927144,24.96335296,10.96259557,14.83152311,12.98927144,16.90283812,14.7143597,21.59040321,15.80501772,9.645069042,17.02316212,13.53074779,7.493111694,5.446476081,8.018460334,8.146964072,6.269304852,10.67492392,13.97030789,5.418080859,22.98731163,10.94747187,10.50734256,7.261892646,11.20225099,6.152825713,21.36635657,14.10744739,12.10733588,15.06592963,11.82725018,13.79284475,22.22301755,14.22204863,14.9557009,22.50634142,19.68730703,10.50588731,7.101993015,10.91357671,12.74332778,18.13467753,12.38599264,11.30322636,8.352054217,14.79468828,15.00138409,7.467488255,14.12372681,12.98229734,14.26908872,7.553585239,9.147920004,6.904137975,11.79251788,12.21639722
307,9.670215595,13.10182751,24.95468815,11.05173581,14.92264302,13.10182751,16.9451172,14.78974122,21.72212327,15.96558517,9.783013716,17.17855359,13.75831844,7.582872871,5.564921942,8.16798891,8.240413188,6.332256242,10.81978354,14.0609107,5.497116833,23.15386234,11.02794094,10.56086958,7.346124347,11.31862887,6.225367691,21.56537169,14.33191985,12.33338622,15.30634284,11.89475884,13.87636385,22.26887361,14.2332002,15.11401531,22.66873635,19.7938779,10.61015254,7.129062276,11.1165675,12.92002527,18.0763102,12.33271058,11.35004852,8.346221947,14.89173909,15.10695899,7.535791327,14.21825492,13.19482892,14.31723069,7.644663825,9.203343898,6.938175734,11.93025781,12.37214084
308,9.751429944,13.20849251,24.94124064,11.13487054,15.00862052,13.20849251,16.98222008,14.85911238,21.84540176,16.11728363,9.913683925,17.32525079,13.97598981,7.667768195,5.677719692,8.310191998,8.328813408,6.391775709,10.95790842,14.14596884,5.571152615,23.31129918,11.10336722,10.6104279,7.425525272,11.42876074,6.293540703,21.75404655,14.54648766,12.54991153,15.53473349,11.95806554,13.95512902,22.30945367,14.24065675,15.26355426,22.8208185,19.89323045,10.70779335,7.153298338,11.31030061,13.08801504,18.01522757,12.27670338,11.39152812,8.337811955,14.98332159,15.20643977,7.599996504,14.30699706,13.39823695,14.36029068,7.730589338,9.254974109,6.969687508,12.06084334,12.52006945
309,9.826744257,13.30913131,24.92284493,11.2118333,15.0893244,13.30913131,17.01400844,14.92232649,21.96002396,16.25990346,10.03690095,17.46303467,14.18353032,7.747680485,5.784737726,8.444884524,8.412045293,6.447773697,11.08916335,14.22534604,5.64003663,23.45940473,11.17362654,10.65590126,7.499981425,11.53250383,6.357240756,21.93212447,14.75092681,12.75668983,15.75080945,12.0170754,14.02904453,22.34460783,14.24431514,15.40410802,22.96231619,19.98516424,10.79862023,7.174616516,11.49455941,13.24708277,17.95128255,12.21783159,11.42749216,8.326732993,15.06930304,15.29969374,7.659999553,14.38980348,13.59230728,14.39813243,7.811234036,9.302710469,6.998615767,12.18409793,12.65998291
