wl,F001,F003,F006,F008,F009,F013,F017,F021,F023,F024,F028,F030,F032,F036,F039,F042,F044,F045,F047,F049,F052,F053,F054,F058,F059,F063,F064,M004,M005,M010,M011,M012,M014,M015,M016,M018,M019,M020,M022,M025,M026,M029,M031,M033,M034,M037,M038,M040,M041,M043,M046,M048,M050,M055,M056,M057,M060,M061,M062,M007
300,3.543354797,4.337558875,4.037128361,4.019001757,4.148322153,4.337558875,6.005624135,4.916072672,3.501638852,3.106350472,4.714193022,3.329863491,3.970253324,2.38607787,2.849456978,2.803392794,2.504497613,3.15279468,3.326984578,3.699624259,2.4742504,2.606556958,2.893185372,4.763324116,2.838314281,2.624997557,2.964363206,4.710544616,3.60345072,6.511094325,2.305842576,4.148841884,3.735480937,4.73584242,3.55824653,4.135511859,4.681712246,5.119208329,4.990318203,7.011152404,2.249090607,4.801626387,3.612385453,5.417064639,4.126468776,3.439256712,4.542370354,3.635132807,2.717075448,3.718804696,2.435809665,4.368269308,3.58533911,3.665152536,3.11464637,4.021486592,2.869510348,2.743887148,2.538616344,4.485579733
301,3.526127912,4.356094688,4.017640141,3.956952239,4.117053384,4.356094688,6.123004077,4.952088673,3.573727671,3.361793347,4.71378295,3.382096889,3.968207999,2.396729187,2.847836627,2.813076261,2.502037865,3.151066571,3.356787979,3.700910765,2.488457469,2.610398059,2.943100525,4.773390489,2.832983924,2.625988537,3.022290182,4.647406269,3.650775218,6.474147398,2.336169347,4.117986532,3.775177736,4.833231398,3.633774749,4.18001817,4.731893377,5.100236509,5.100220978,7.126999601,2.360965589,4.927267089,3.695658743,5.361976261,4.058424174,3.387035465,4.483455514,3.711537042,2.75956997,3.80923254,2.44385366,4.296972008,3.643309514,3.689117052,3.281301431,4.036545056,2.890809987,2.737716014,2.557673815,4.403019133
302,3.509203943,4.37412416,3.998244201,3.896067294,4.086553649,4.37412416,6.237416135,4.986681146,3.645564078,3.613375855,4.713106347,3.433818782,3.966367832,2.40731047,2.846480134,2.822720515,2.49990562,3.149573369,3.386869707,3.702176812,2.503218239,2.614203041,2.992374455,4.78425878,2.827954309,2.627168498,3.079413367,4.58589213,3.697909192,6.438767097,2.366083106,4.087994266,3.815337311,4.929196522,3.708130367,4.225095488,4.781111151,5.081409714,5.208707876,7.2420022,2.473058676,5.0517863,3.778623979,5.307635507,3.991434024,3.336440491,4.427284222,3.787391039,2.801991799,3.899559179,2.452138506,4.227746332,3.700404004,3.713110846,3.445351125,4.051908282,2.913493418,2.732007572,2.577175702,4.321614133
303,3.492580923,4.391655942,3.97893109,3.836368983,4.056810857,4.391655942,6.348789656,5.019812399,3.717237529,3.86121948,4.712148897,3.485029366,3.964746398,2.417818005,2.845385352,2.832327398,2.498111406,3.148321038,3.417272581,3.70341963,2.518563121,2.617981268,3.041042003,4.795974096,2.823238841,2.628552471,3.135755444,4.526022703,3.744870919,6.405059943,2.39558237,4.058893842,3.856006088,5.023773258,3.781332411,4.270817567,4.829391086,5.062723652,5.315838201,7.356277759,2.585495319,5.175269395,3.861344734,5.254009064,3.925468334,3.287509746,4.373929828,3.862755926,2.844378569,3.98988637,2.460686925,4.160639269,3.756629684,3.737164806,3.60681798,4.067604878,2.937641326,2.726790794,2.597169646,4.241405006
304,3.476256881,4.408698683,3.959691357,3.777879363,4.027812914,4.408698683,6.457053984,5.051444737,3.788837482,4.105445707,4.710896284,3.535728838,3.963357276,2.428248081,2.844550135,2.841898753,2.49666575,3.14731554,3.448039418,3.704636448,2.534522526,2.621742104,3.089138009,4.80858154,2.818850921,2.630155487,3.191339098,4.46781849,3.791678673,6.373132456,2.424665658,4.030714014,3.897230488,5.116997072,3.853399908,4.317258167,4.876758698,5.044174031,5.421671254,7.469943837,2.698400971,5.297801748,3.94388458,5.201063622,3.860497115,3.240281182,4.323465682,3.937692829,2.886767914,4.080315873,2.469521641,4.095697805,3.811993657,3.761309818,3.765724529,4.08366345,2.963334397,2.722094649,2.617703286,4.162432025
305,3.460229851,4.425261033,3.940515552,3.720620494,3.99954773,4.425261033,6.562138468,5.081540465,3.860453396,4.346176022,4.709334191,3.585917394,3.96221404,2.438596983,2.843972338,2.851436421,2.49557918,3.146562838,3.479213039,3.705824496,2.551126864,2.625494913,3.136697315,4.822126218,2.814803952,2.631992576,3.246187014,4.411299994,3.838350728,6.343091154,2.453331488,4.00348354,3.939056936,5.208903432,3.924351885,4.364491044,4.923239507,5.025756559,5.526266339,7.583117993,2.811901084,5.419468732,4.026307089,5.148765869,3.796490377,3.194792754,4.275965134,4.012262876,2.929197468,4.170949445,2.478665376,4.03296893,3.866503028,3.785576769,3.922093302,4.100112603,2.990653317,2.717948109,2.638824259,4.084735462
306,3.444497864,4.441351642,3.921394222,3.664614436,3.972003211,4.441351642,6.663972451,5.110061889,3.932174727,4.583531908,4.707448302,3.63559523,3.961330269,2.448860999,2.843649813,2.860942244,2.494862225,3.146068893,3.51083626,3.706981003,2.568406546,2.629249058,3.18375476,4.836653236,2.811111337,2.634078769,3.300321877,4.356487715,3.884905361,6.315042557,2.481578377,3.977231173,3.981531855,5.299527804,3.99420737,4.412589954,4.968859029,5.007466944,5.629682758,7.695917786,2.926121109,5.540355721,4.108675835,5.097082495,3.733418129,3.151082415,4.231501533,4.086527194,2.971704863,4.261888843,2.488140854,3.972499632,3.920164901,3.809996546,4.075946829,4.116980944,3.019678771,2.714380146,2.660580205,4.00835559
307,3.429058951,4.456979158,3.902317918,3.609883246,3.945167265,4.456979158,6.762485281,5.136971316,4.004090935,4.817634851,4.705224302,3.684762545,3.960719538,2.459036416,2.843580415,2.870418065,2.494525411,3.145839668,3.542951902,3.708103199,2.586391983,2.633013903,3.230345186,4.852207697,2.807786479,2.636429097,3.353766371,4.303402158,3.931360846,6.289093186,2.509404844,3.951985671,4.024701667,5.388905655,4.062985391,4.461628656,5.013642783,4.989300895,5.731979813,7.808460776,3.041186499,5.660548088,4.191054391,5.045980188,3.67125038,3.10918812,4.19014823,4.160546909,3.014327734,4.353235827,2.497970798,3.914336898,3.972986378,3.834600036,4.227307641,4.134297079,3.050491445,2.71141973,2.683018762,3.933332682
308,3.413911143,4.472152232,3.883277187,3.556448984,3.919027801,4.472152232,6.857606304,5.162231049,4.076291475,5.048606335,4.702647875,3.733419533,3.960395423,2.469119521,2.843761998,2.879865724,2.494579267,3.145881127,3.575602781,3.709188314,2.605113584,2.636798811,3.276503433,4.868834708,2.80484278,2.639058591,3.406543181,4.252063824,3.977735458,6.265349559,2.536809408,3.927775787,4.068612797,5.477072452,4.130704973,4.511680906,5.057616286,4.971254118,5.833216807,7.92086452,3.157222706,5.780131208,4.273506328,4.995425638,3.609957141,3.069147823,4.151978574,4.234383149,3.057103715,4.445092154,2.508177931,3.858527718,4.024974564,3.859418125,4.376198269,4.152089614,3.083172024,2.709095833,2.706187571,3.859707009
309,3.399052473,4.486879513,3.864262579,3.504333709,3.893572725,4.486879513,6.949264865,5.185803397,4.148865807,5.276567845,4.699704703,3.781566392,3.960371503,2.479106601,2.844192416,2.889287065,2.495034321,3.14619923,3.608831718,3.710233577,2.624601762,2.640613148,3.322264341,4.886579373,2.802293643,2.641982281,3.458674992,4.202493215,4.024047472,6.243918197,2.563790586,3.904630279,4.113311667,5.56406366,4.197385145,4.562820461,5.100805057,4.953322323,5.933453042,8.033246579,3.274355181,5.899190455,4.35609522,4.945385534,3.549508422,3.030999477,4.117065915,4.308097041,3.100070439,4.537559582,2.518784975,3.80511908,4.076136563,3.8844817,4.522641244,4.170387155,3.117801193,2.707437425,2.730134268,3.787518845
310,3.384480972,4.501169651,3.845264643,3.45355948,3.868789947,4.501169651,7.037390311,5.207650663,4.221903387,5.501640866,4.696380472,3.829203318,3.960661352,2.488993943,2.844869522,2.898683928,2.495901101,3.146799942,3.642681531,3.711236217,2.644886927,2.644466275,3.367662752,4.905486797,2.80015247,2.645215199,3.510184489,4.154710834,4.070315164,6.224905619,2.590346896,3.882577901,4.158844701,5.649914748,4.263044934,4.615121079,5.143234612,4.935501218,6.032747822,8.14572451,3.392709378,6.017811201,4.43888464,4.895826563,3.489874232,2.994781037,4.085483603,4.381749712,3.14326554,4.630739869,2.529814655,3.754157972,4.126479478,3.909821647,4.666659095,4.189218309,3.154459639,2.706473477,2.754906495,3.716808461
311,3.370194672,4.515031296,3.826273927,3.404148357,3.844667372,4.515031296,7.121911988,5.227735154,4.295493673,5.723946883,4.692660865,3.876330508,3.961278548,2.498777833,2.84579117,2.908058156,2.497190134,3.147689224,3.677195038,3.712193464,2.665999488,2.648367558,3.412733505,4.925602085,2.798432665,2.648772375,3.561094355,4.108737184,4.116556808,6.208418345,2.616476857,3.861647409,4.205258322,5.734661181,4.327703367,4.668656516,5.184930469,4.917786509,6.131160448,8.258415874,3.512410748,6.136078821,4.521938161,4.846715416,3.43102458,2.960530457,4.057304988,4.455402288,3.186726651,4.724734774,2.541289693,3.705691381,4.176010412,3.935468855,4.808274355,4.208611681,3.193228046,2.706232961,2.780551888,3.647616131
312,3.356191603,4.528473096,3.80728098,3.356122397,3.821192911,4.528473096,7.202759242,5.246019176,4.369726124,5.94360738,4.688531566,3.922948159,3.962236667,2.508454559,2.846955214,2.917411591,2.498911948,3.148873038,3.712415058,3.713102548,2.687969858,2.65232636,3.457511442,4.946970342,2.79714763,2.65266884,3.611427276,4.064592766,4.162790679,6.194562894,2.642178986,3.841867559,4.252598954,5.818338427,4.391379472,4.72350053,5.225918147,4.900173907,6.228750223,8.371438229,3.633584743,6.254078688,4.605319354,4.798018781,3.372929477,2.92828569,4.032603419,4.529115898,3.230491407,4.819646053,2.553232813,3.659766297,4.224736471,3.961454208,4.947509553,4.228595879,3.2341871,2.706744847,2.807118088,3.579982127
313,3.342466663,4.541483065,3.788309944,3.309538076,3.798397887,4.541483065,7.279874423,5.26249538,4.444605128,6.16057914,4.683971248,3.969030235,3.963540955,2.518003774,2.848353319,2.926726343,2.50106315,3.150347868,3.748350106,3.713940708,2.710799666,2.656343923,3.501980735,4.969603307,2.796300706,2.656923222,3.661138811,4.022300273,4.209033242,6.183444405,2.667466719,3.823261753,4.300883429,5.900903835,4.454054865,4.779676267,5.266174812,4.882668752,6.325471737,8.484760266,3.756297588,6.371773092,4.688973774,4.74975779,3.315620535,2.898102951,4.011450446,4.602872197,3.274549432,4.915445401,2.565624048,3.616454567,4.27262274,3.987771583,5.084306066,4.24916995,3.277361216,2.708017934,2.834624918,3.514002778
314,3.329017842,4.5540362,3.769396706,3.26440187,3.776327777,4.5540362,7.353332146,5.277223009,4.519976661,6.374614101,4.678988664,4.014553691,3.965172016,2.527415418,2.849981983,2.935984401,2.50362268,3.152101023,3.784931908,3.714693826,2.734436777,2.660404662,3.54606651,4.993432742,2.795870844,2.661525012,3.710152859,3.981841022,4.255266612,6.174962834,2.692354093,3.80579695,4.35004447,5.982260077,4.515681289,4.837074343,5.30563644,4.865282845,6.421183531,8.598151129,3.880385083,6.488981307,4.77274436,4.702005771,3.259174829,2.86996246,3.993776767,4.676548938,3.318826347,5.011932022,2.578407408,3.575733014,4.319627876,4.014362307,5.218577365,4.270283576,3.322630395,2.710008851,2.863005925,3.449685555
315,3.315847812,4.566121634,3.750549439,3.220660845,3.754991714,4.566121634,7.423260158,5.290264253,4.595692562,6.585526481,4.673614614,4.059523204,3.967106469,2.536701212,2.85184631,2.945187428,2.506574571,3.154124708,3.822088095,3.715372104,2.758830958,2.664492697,3.589715034,5.018383794,2.795834858,2.666445539,3.758444611,3.943173448,4.301457538,6.168916924,2.716840531,3.789417243,4.400002329,6.0623606,4.576232956,4.895569717,5.344266761,4.848021585,6.515800828,8.711429056,4.00562704,6.605574188,4.856540763,4.654807708,3.203630558,2.843788186,3.97944445,4.750051391,3.363263783,5.108948941,2.591551574,3.537506094,4.365749336,4.041178449,5.35030412,4.291891305,3.369858704,2.712668318,2.892179329,3.386937439
316,3.302959245,4.577728499,3.731776313,3.178262062,3.734398831,4.577728499,7.489786202,5.301681303,4.671604671,6.793130496,4.6678799,4.103943451,3.969320931,2.545872876,2.853951402,2.954337086,2.509902856,3.156411125,3.859746301,3.715985739,2.783931974,2.66859215,3.632872579,5.044381608,2.796169563,2.671656131,3.80598926,3.906255992,4.347572769,6.165105417,2.740925454,3.774066723,4.450677264,6.141158852,4.635684081,4.95503735,5.382029506,4.830890369,6.609238853,8.824412285,4.131803271,6.721422588,4.940272637,4.608208586,3.14902592,2.819504095,3.968315564,4.823284826,3.40780337,5.206339182,2.605025231,3.501678261,4.410984579,4.068172076,5.479467004,4.31394769,3.418910209,2.715947055,2.92206335,3.325665412
317,3.290354814,4.588845926,3.713085499,3.137152587,3.714558263,4.588845926,7.553038023,5.311536348,4.747564826,6.997240363,4.661815322,4.14781911,3.97179202,2.55494213,2.856302364,2.963435039,2.513591567,3.158952479,3.897834158,3.716544931,2.809689588,2.67268714,3.675485412,5.071351329,2.796851773,2.677128114,3.852761998,3.871047088,4.393579055,6.163327059,2.764608283,3.759689481,4.501989527,6.218608282,4.694008876,5.015352201,5.418888407,4.813894594,6.701412831,8.936919053,4.258693588,6.836397361,5.023849631,4.56225339,3.095399116,2.797034153,3.960252178,4.896154512,3.452386738,5.303945773,2.618797061,3.468153969,4.455331063,4.095295255,5.606046689,4.336407281,3.469648976,2.719795781,2.952576208,3.265776455
318,3.278037191,4.599463047,3.69448517,3.097279483,3.695479142,4.599463047,7.613143367,5.319891581,4.823424866,7.197670301,4.655451682,4.191154858,3.974496354,2.563920694,2.858904298,2.972482948,2.517624735,3.161740974,3.936279298,3.71705988,2.836053567,2.676761789,3.717499804,5.099218102,2.797858303,2.682832818,3.898738017,3.837505176,4.439443144,6.163380591,2.787888443,3.746229609,4.553859375,6.294662335,4.751181556,5.07638923,5.454807194,4.797039658,6.792237988,9.048767597,4.386077803,6.950369362,5.107181399,4.516987105,3.042788344,2.776302327,3.955116361,4.968565719,3.496955516,5.401611738,2.632835748,3.436837672,4.498786246,4.122500055,5.730023846,4.359224629,3.521939072,2.724165216,2.983636124,3.207177551
319,3.266009049,4.609568994,3.675983496,3.058589813,3.677170602,4.609568994,7.670229978,5.326809191,4.899036631,7.394234526,4.64881978,4.233955373,3.977410549,2.572820287,2.861762308,2.981482477,2.521986393,3.164768814,3.975009355,3.717540783,2.862973675,2.680800218,3.758862023,5.127907073,2.799165967,2.68874157,3.94389251,3.805588692,4.485131787,6.165064758,2.810765353,3.733631199,4.606207062,6.369274461,4.807176333,5.138023396,5.489749598,4.780330959,6.881629547,9.159776155,4.513735729,7.063209444,5.190177591,4.472454714,2.991231805,2.757232585,3.952770183,5.040423717,3.541451336,5.499180101,2.647109975,3.407633827,4.541347587,4.149738543,5.851379147,4.382354285,3.575644562,2.72900608,3.015161317,3.14977568
