"","V1","V2"
"Sex","f","m"
"Head.Length","18.94759","19.58765"
"sdHL","1.966922","2.224056"
"nHL","29","34"
"Head.width","11.09655","11.17853"
"sdHW","1.128559","1.479470"
"nHW","29","34"
"Head.Height","10.57172","10.63559"
"sdHH","1.500867","1.362772"
"nHH","29","34"
"Horn.Length","6.685862","8.422647"
"sdHorn.L","1.806987","1.837538"
"nHorn.L","29","34"
"mDewlapH","11.06379","11.89029"
"sdDewlapH","2.202798","2.483437"
"nDewlapH","29","34"
"mSVL","6.641379","6.644118"
"sdSVL","0.7433117","0.7484089"
"nSVL","29","34"
"mTotL","17.88621","18.81765"
"sd.TotL","1.974973","2.148075"
"n.TotL","29","34"
"mMass","8.593103","7.761765"
"sd.Mass","3.044307","2.220021"
"n.Mass","29","34"
"mCrest.H","4.406897","4.395000"
"sdCrestH","1.2822723","0.9948572"
"nCrestH","29","34"
