"","ID","Sex","HL","HW","HH","Horn.L","Horn.W","Crest.H","Dewlap.H","SVL","TotL","Tail","Mass","condition","LSVL","LHorn.L","LCrest.H","LDewlap.H","LHW","LHH","LHL"
"1",1,"f",16.78,10.81,9.98,5.25,2.68,4.41,9.48,5.9,16.8,10.9,6.3,0.124670536226171,1.77495235091167,1.65822807660353,1.48387468945875,2.24918431626693,2.38047163165112,2.30058309032337,2.82018770103906
"2",2,"f",22.61,12.97,14.82,7.08,3.78,4.25,13.19,8,21.1,13.1,13.7,0.024882052517177,2.07944154167984,1.95727390770563,1.44691898293633,2.57945896672922,2.56263899832835,2.69597761986794,3.11839228628988
"3",3,"f",18.64,11,9.74,6.48,4.33,6.29,10.98,6.9,17.7,10.8,7.5,-0.151743700147863,1.93152141160321,1.86872051036418,1.83896107071235,2.39607543608138,2.39789527279837,2.27624111765444,2.92530980925744
"4",4,"m",19.51,11.78,10.79,9.71,4.62,4.67,10.32,6.3,19.8,13.5,8.6,0.247026310212766,1.84054963339749,2.27315628230323,1.54115907168081,2.33408376005342,2.46640317822344,2.37861977927004,2.97092715463502
"5",5,"m",19.86,10.81,10.63,9.08,3.37,4.75,13.21,7,19.6,12.6,7.8,-0.15394864898726,1.94591014905531,2.2060741926132,1.55814461804655,2.58097411853423,2.38047163165112,2.36368019235386,2.98870765861703
"6",6,"f",17.31,11.99,10.96,6.96,4.31,7.3,11.91,6.4,17.9,11.5,8.6,0.201686257628305,1.85629799036563,1.94017947434633,1.98787434815435,2.47737838336721,2.48407296903942,2.39425228151987,2.85128436918812
"7",7,"m",19.24,11.72,11.24,8.66,4.21,4.08,11.58,6.8,20.2,13.4,7.5,-0.109713262638465,1.91692261218206,2.15871472257434,1.40609698841607,2.44927947214485,2.46129678414887,2.41947884446554,2.95699144523756
"8",8,"f",18.78,10.12,10.34,6.25,3.1,5.21,6.64,6.7,17.8,11.1,8.8,0.0927885715731765,1.90210752639692,1.83258146374831,1.65057985576528,1.89311196348834,2.31451366385932,2.33601986908028,2.93279247378012
"9",9,"f",19.01,11.01,9.83,5.29,3.32,3.4,10.51,6.8,18.5,11.7,8.1,-0.0327522215023367,1.91692261218206,1.66581824587021,1.22377543162212,2.35232718488886,2.39880395073459,2.28543893415908,2.94496515650034
"10",10,"m",21.93,12.19,11.7,12.6,5.36,5.37,12.35,7.6,21.5,13.9,10.8,-0.0652925160466888,2.02814824729229,2.53369681395743,1.68082790852077,2.51365606307399,2.50061594349318,2.45958884180371,3.0878555624298
"11",11,"m",21.82,11.94,11.52,8.66,4.52,4.34,12.06,7.1,18.9,11.8,10.3,0.0832334684490197,1.96009478404727,2.15871472257434,1.46787434811231,2.48989419129904,2.47989410796446,2.44408465526775,3.08282698040492
"12",12,"m",16.58,10.1,9.37,6.91,3.67,4.73,7.76,6.3,17.7,11.4,5.6,-0.181969295305592,1.84054963339749,1.93296963777958,1.55392520250384,2.04898233419513,2.31253542384721,2.23751309625033,2.80819714970715
"13",13,"f",18.38,9.96,9.92,4.68,3.16,6.44,8.82,6.9,16.9,10,8.3,-0.0503912058875749,1.93152141160321,1.54329810992956,1.86252854011626,2.1770218700187,2.29857707159651,2.29455292129678,2.91126311692754
"14",14,"m",19.82,11.99,10.79,8.54,3.8,3.98,12.04,6.5,18.5,12,8.5,0.145353140216816,1.87180217690159,2.14476100780048,1.38128181929635,2.48823443988067,2.48407296903942,2.37861977927004,2.98669152890184
"15",15,"m",18.1,9.96,9.73,7.08,4.55,4.65,9.35,6.1,16.4,10.3,5.4,-0.125456825547539,1.80828877117927,1.95727390770563,1.53686721959926,2.2353763433006,2.29857707159651,2.27521389619791,2.89591193827178
