Channel	Intg Period [ms]	Avg. [scans]	Smoothing [pixels]
=========	=========	=========	=========
Slave1	256	1	0	

Slave1	uW/cm^2/nm	
DATA
 178.16	0.00000E+0
 178.55	0.00000E+0
 178.93	0.00000E+0
 179.31	0.00000E+0
 179.69	0.00000E+0
 180.07	0.00000E+0
 180.45	0.00000E+0
 180.83	0.00000E+0
 181.21	0.00000E+0
 181.59	0.00000E+0
 181.97	0.00000E+0
 182.35	0.00000E+0
 182.73	0.00000E+0
 183.11	0.00000E+0
 183.49	0.00000E+0
 183.87	0.00000E+0
 184.25	0.00000E+0
 184.63	0.00000E+0
 185.01	0.00000E+0
 185.39	0.00000E+0
 185.77	0.00000E+0
 186.15	0.00000E+0
 186.53	0.00000E+0
 186.91	0.00000E+0
 187.29	0.00000E+0
 187.67	0.00000E+0
 188.05	0.00000E+0
 188.43	0.00000E+0
 188.81	0.00000E+0
 189.19	0.00000E+0
 189.57	0.00000E+0
 189.95	0.00000E+0
 190.33	0.00000E+0
 190.71	0.00000E+0
 191.09	0.00000E+0
 191.47	0.00000E+0
 191.85	0.00000E+0
 192.23	0.00000E+0
 192.61	0.00000E+0
 192.99	0.00000E+0
 193.37	0.00000E+0
 193.75	0.00000E+0
 194.13	0.00000E+0
 194.51	0.00000E+0
 194.88	0.00000E+0
 195.26	0.00000E+0
 195.64	0.00000E+0
 196.02	0.00000E+0
 196.40	0.00000E+0
 196.78	0.00000E+0
 197.16	0.00000E+0
 197.54	0.00000E+0
 197.92	0.00000E+0
 198.30	0.00000E+0
 198.68	0.00000E+0
 199.05	0.00000E+0
 199.43	0.00000E+0
 199.81	0.00000E+0
 200.19	0.00000E+0
 200.57	0.00000E+0
 200.95	0.00000E+0
 201.33	0.00000E+0
 201.71	0.00000E+0
 202.08	0.00000E+0
 202.46	0.00000E+0
 202.84	0.00000E+0
 203.22	0.00000E+0
 203.60	0.00000E+0
 203.98	0.00000E+0
 204.36	0.00000E+0
 204.73	0.00000E+0
 205.11	0.00000E+0
 205.49	0.00000E+0
 205.87	0.00000E+0
 206.25	0.00000E+0
 206.63	0.00000E+0
 207.00	0.00000E+0
 207.38	0.00000E+0
 207.76	0.00000E+0
 208.14	0.00000E+0
 208.52	0.00000E+0
 208.90	0.00000E+0
 209.27	0.00000E+0
 209.65	0.00000E+0
 210.03	0.00000E+0
 210.41	0.00000E+0
 210.79	0.00000E+0
 211.16	0.00000E+0
 211.54	0.00000E+0
 211.92	0.00000E+0
 212.30	0.00000E+0
 212.67	0.00000E+0
 213.05	0.00000E+0
 213.43	0.00000E+0
 213.81	0.00000E+0
 214.18	0.00000E+0
 214.56	0.00000E+0
 214.94	0.00000E+0
 215.32	0.00000E+0
 215.69	0.00000E+0
 216.07	0.00000E+0
 216.45	0.00000E+0
 216.83	0.00000E+0
 217.20	0.00000E+0
 217.58	0.00000E+0
 217.96	0.00000E+0
 218.34	0.00000E+0
 218.71	0.00000E+0
 219.09	0.00000E+0
 219.47	0.00000E+0
 219.84	0.00000E+0
 220.22	0.00000E+0
 220.60	0.00000E+0
 220.98	0.00000E+0
 221.35	0.00000E+0
 221.73	0.00000E+0
 222.11	0.00000E+0
 222.48	0.00000E+0
 222.86	0.00000E+0
 223.24	0.00000E+0
 223.61	0.00000E+0
 223.99	0.00000E+0
 224.37	0.00000E+0
 224.74	0.00000E+0
 225.12	0.00000E+0
 225.50	0.00000E+0
 225.87	0.00000E+0
 226.25	0.00000E+0
 226.63	0.00000E+0
 227.00	0.00000E+0
 227.38	0.00000E+0
 227.76	0.00000E+0
 228.13	0.00000E+0
 228.51	0.00000E+0
 228.88	0.00000E+0
 229.26	0.00000E+0
 229.64	0.00000E+0
 230.01	0.00000E+0
 230.39	0.00000E+0
 230.77	0.00000E+0
 231.14	0.00000E+0
 231.52	0.00000E+0
 231.89	0.00000E+0
 232.27	0.00000E+0
 232.65	0.00000E+0
 233.02	0.00000E+0
 233.40	0.00000E+0
 233.77	0.00000E+0
 234.15	0.00000E+0
 234.53	0.00000E+0
 234.90	0.00000E+0
 235.28	0.00000E+0
 235.65	0.00000E+0
 236.03	0.00000E+0
 236.40	0.00000E+0
 236.78	0.00000E+0
 237.15	0.00000E+0
 237.53	0.00000E+0
 237.91	0.00000E+0
 238.28	0.00000E+0
 238.66	0.00000E+0
 239.03	0.00000E+0
 239.41	0.00000E+0
 239.78	0.00000E+0
 240.16	0.00000E+0
 240.53	0.00000E+0
 240.91	0.00000E+0
 241.28	0.00000E+0
 241.66	0.00000E+0
 242.03	0.00000E+0
 242.41	0.00000E+0
 242.78	0.00000E+0
 243.16	0.00000E+0
 243.53	0.00000E+0
 243.91	0.00000E+0
 244.28	0.00000E+0
 244.66	0.00000E+0
 245.03	0.00000E+0
 245.41	0.00000E+0
 245.78	0.00000E+0
 246.16	0.00000E+0
 246.53	0.00000E+0
 246.91	0.00000E+0
 247.28	0.00000E+0
 247.66	0.00000E+0
 248.03	0.00000E+0
 248.41	0.00000E+0
 248.78	0.00000E+0
 249.15	0.00000E+0
 249.53	0.00000E+0
 249.90	0.00000E+0
 250.28	0.00000E+0
 250.65	0.00000E+0
 251.03	0.00000E+0
 251.40	0.00000E+0
 251.77	0.00000E+0
 252.15	0.00000E+0
 252.52	0.00000E+0
 252.90	0.00000E+0
 253.27	0.00000E+0
 253.64	0.00000E+0
 254.02	0.00000E+0
 254.39	0.00000E+0
 254.77	0.00000E+0
 255.14	0.00000E+0
 255.51	0.00000E+0
 255.89	0.00000E+0
 256.26	0.00000E+0
 256.64	0.00000E+0
 257.01	0.00000E+0
 257.38	0.00000E+0
 257.76	0.00000E+0
 258.13	0.00000E+0
 258.50	0.00000E+0
 258.88	0.00000E+0
 259.25	0.00000E+0
 259.62	0.00000E+0
 260.00	0.00000E+0
 260.37	0.00000E+0
 260.74	0.00000E+0
 261.12	0.00000E+0
 261.49	0.00000E+0
 261.86	0.00000E+0
 262.24	0.00000E+0
 262.61	0.00000E+0
 262.98	0.00000E+0
 263.36	0.00000E+0
 263.73	0.00000E+0
 264.10	0.00000E+0
 264.48	0.00000E+0
 264.85	0.00000E+0
 265.22	0.00000E+0
 265.60	0.00000E+0
 265.97	0.00000E+0
 266.34	0.00000E+0
 266.71	0.00000E+0
 267.09	0.00000E+0
 267.46	0.00000E+0
 267.83	0.00000E+0
 268.21	0.00000E+0
 268.58	0.00000E+0
 268.95	0.00000E+0
 269.32	0.00000E+0
 269.70	0.00000E+0
 270.07	0.00000E+0
 270.44	0.00000E+0
 270.81	0.00000E+0
 271.19	0.00000E+0
 271.56	0.00000E+0
 271.93	0.00000E+0
 272.30	0.00000E+0
 272.68	0.00000E+0
 273.05	0.00000E+0
 273.42	0.00000E+0
 273.79	0.00000E+0
 274.16	0.00000E+0
 274.54	0.00000E+0
 274.91	0.00000E+0
 275.28	0.00000E+0
 275.65	0.00000E+0
 276.02	0.00000E+0
 276.40	0.00000E+0
 276.77	0.00000E+0
 277.14	0.00000E+0
 277.51	0.00000E+0
 277.88	0.00000E+0
 278.26	0.00000E+0
 278.63	0.00000E+0
 279.00	0.00000E+0
 279.37	0.00000E+0
 279.74	0.00000E+0
 280.11	0.00000E+0
 280.48	0.00000E+0
 280.86	0.00000E+0
 281.23	0.00000E+0
 281.60	0.00000E+0
 281.97	0.00000E+0
 282.34	0.00000E+0
 282.71	0.00000E+0
 283.08	0.00000E+0
 283.46	0.00000E+0
 283.83	0.00000E+0
 284.20	0.00000E+0
 284.57	0.00000E+0
 284.94	0.00000E+0
 285.31	0.00000E+0
 285.68	0.00000E+0
 286.05	0.00000E+0
 286.42	0.00000E+0
 286.80	0.00000E+0
 287.17	0.00000E+0
 287.54	0.00000E+0
 287.91	0.00000E+0
 288.28	0.00000E+0
 288.65	0.00000E+0
 289.02	0.00000E+0
 289.39	0.00000E+0
 289.76	0.00000E+0
 290.13	0.00000E+0
 290.50	0.00000E+0
 290.87	0.00000E+0
 291.24	0.00000E+0
 291.62	0.00000E+0
 291.99	0.00000E+0
 292.36	0.00000E+0
 292.73	0.00000E+0
 293.10	0.00000E+0
 293.47	0.00000E+0
 293.84	0.00000E+0
 294.21	0.00000E+0
 294.58	0.00000E+0
 294.95	0.00000E+0
 295.32	0.00000E+0
 295.69	0.00000E+0
 296.06	0.00000E+0
 296.43	0.00000E+0
 296.80	0.00000E+0
 297.17	0.00000E+0
 297.54	0.00000E+0
 297.91	0.00000E+0
 298.28	0.00000E+0
 298.65	0.00000E+0
 299.02	0.00000E+0
 299.39	0.00000E+0
 299.76	0.00000E+0
 300.13	0.00000E+0
 300.50	0.00000E+0
 300.87	0.00000E+0
 301.24	0.00000E+0
 301.61	0.00000E+0
 301.97	0.00000E+0
 302.34	0.00000E+0
 302.71	0.00000E+0
 303.08	0.00000E+0
 303.45	0.00000E+0
 303.82	0.00000E+0
 304.19	0.00000E+0
 304.56	0.00000E+0
 304.93	0.00000E+0
 305.30	0.00000E+0
 305.67	0.00000E+0
 306.04	0.00000E+0
 306.41	0.00000E+0
 306.77	0.00000E+0
 307.14	0.00000E+0
 307.51	0.00000E+0
 307.88	0.00000E+0
 308.25	0.00000E+0
 308.62	0.00000E+0
 308.99	0.00000E+0
 309.36	0.00000E+0
 309.73	0.00000E+0
 310.09	0.00000E+0
